#1			
float	T_Cav(458,2)	
0	26
7136983	26.64
7136993	26.62
7137003	26.60
7137013	26.57
7137023	26.53
7137033	26.49
7137043	26.45
7137053	26.41
7137063	26.36
7137073	26.31
7137083	26.25
7137093	26.20
7137103	26.14
7137113	26.09
7137123	26.03
7137133	25.98
7137143	25.93
7137153	25.88
7137163	25.83
7137173	25.79
7137183	25.75
7137193	25.71
7137203	25.68
7137213	25.65
7137223	25.62
7137233	25.60
7137243	25.58
7137253	25.56
7137263	25.54
7137273	25.53
7137283	25.52
7137293	25.51
7137303	25.50
7137313	25.50
7137323	25.49
7137333	25.48
7137343	25.48
7137353	25.47
7137363	25.47
7137373	25.46
7137383	25.46
7137393	25.45
7137403	25.45
7137413	25.45
7137423	25.45
7137433	25.44
7137443	25.44
7137453	25.44
7137463	25.44
7137473	25.44
7137483	25.44
7137493	25.44
7137503	25.44
7137513	25.43
7137523	25.43
7137533	25.43
7137543	25.43
7137553	25.42
7137563	25.42
7137573	25.41
7137583	25.41
7137593	25.40
7137603	25.40
7137613	25.39
7137623	25.39
7137633	25.38
7137643	25.38
7137653	25.37
7137663	25.37
7137673	25.37
7137683	25.36
7137693	25.36
7137703	25.36
7137713	25.36
7137723	25.36
7137733	25.36
7137743	25.36
7137753	25.37
7137763	25.37
7137773	25.37
7137783	25.37
7137793	25.38
7137803	25.38
7137813	25.38
7137823	25.39
7137833	25.39
7137843	25.39
7137853	25.39
7137863	25.39
7137873	25.39
7137883	25.39
7137893	25.39
7137903	25.39
7137913	25.39
7137923	25.38
7137933	25.38
7137943	25.37
7137953	25.37
7137963	25.36
7137973	25.35
7137983	25.34
7137993	25.34
7138003	25.33
7138013	25.32
7138023	25.31
7138033	25.31
7138043	25.30
7138053	25.29
7138063	25.29
7138073	25.28
7138083	25.28
7138093	25.28
7138103	25.28
7138113	25.28
7138123	25.28
7138133	25.28
7138143	25.29
7138153	25.29
7138163	25.29
7138173	25.30
7138183	25.30
7138193	25.31
7138203	25.31
7138213	25.32
7138223	25.32
7138233	25.33
7138243	25.33
7138253	25.33
7138263	25.34
7138273	25.34
7138283	25.34
7138293	25.34
7138303	25.34
7138313	25.34
7138323	25.33
7138333	25.33
7138343	25.33
7138353	25.33
7138363	25.33
7138373	25.32
7138383	25.32
7138393	25.32
7138403	25.32
7138413	25.31
7138423	25.31
7138433	25.31
7138443	25.31
7138453	25.31
7138463	25.31
7138473	25.31
7138483	25.31
7138493	25.31
7138503	25.31
7138513	25.31
7138523	25.30
7138533	25.30
7138543	25.30
7138553	25.30
7138563	25.31
7138573	25.31
7138583	25.31
