#1	will	need	to	update	the	number	of	rows	in	the	next	header	row	by	noting	file	rows	length	and	subtracting	2:00											
float	DNI_THTFin_vdot(221,23)	#vectors:	"(SecOfYear),"	DNI	"(W/m2),"	THTF_in	"(K),"	vdot	"(m3/s),"	"Egen(W),"	THTF_out	"(K),"	Tcavity	"(K),"	"THTFout(K),"	"Tcav(K),"	"T_s3m6in,"	"T_s3m6out,"	"T_s3m5in,"	"T_s3m5out,"	"T_s3m4in,"	"T_s3m4out,"	"T_s3m3in,"	"T_s3m3out,"	"T_s3m2in,"	"T_s3m2out,"	"T_s3m1in,"	"T_s3m1out,"	"T_s2m6in,"	"T_s2m1out,"	"T_s2m2or3,"	T_s2m3or2
0	1.2	348.74	0.000002574	0	343.35	298.39	348.74	348.53	348.41	348.05	347.91	347.22	347.08	347.02	346.46	346.44	346.26	346.1	345	343.35	346.06	346.55										
6791501	582.9	349.54	0.000000010	0	345.5	299.39	349.5	349.4	349.4	349	348.9	348.3	348.3	348.3	347.8	347.8	347.6	347.6	346.7	345.5	347.7	348										
6791511	558.6	349.56	0.000000010	0	345.51	299.37	349.6	349.4	349.4	349	348.9	348.4	348.3	348.3	347.8	347.8	347.6	347.6	346.7	345.5	347.7	348.1										
6791521	603.0	349.6	0.000000010	0	345.51	299.38	349.6	349.4	349.4	349.1	349	348.4	348.3	348.3	347.8	347.8	347.7	347.6	346.7	345.5	347.7	348.1										
6791531	605.0	349.62	0.000000010	0	345.5	299.37	349.6	349.4	349.4	349.1	349	348.4	348.3	348.3	347.8	347.8	347.7	347.6	346.7	345.5	347.7	348.1										
6791541	609.2	349.64	0.000000010	0	345.51	299.39	349.6	349.5	349.4	349.1	349	348.4	348.3	348.3	347.8	347.8	347.7	347.6	346.7	345.5	347.7	348.2										
6791551	596.6	349.68	0.000000010	0	345.53	299.4	349.7	349.5	349.5	349.1	349	348.4	348.3	348.3	347.8	347.9	347.7	347.6	346.8	345.5	347.8	348.2										
6791561	599.0	349.69	0.000000010	0	345.54	299.39	349.7	349.5	349.5	349.2	349.1	348.5	348.4	348.3	347.9	347.9	347.7	347.6	346.8	345.5	347.8	348.2										
6791571	594.1	349.75	0.000000010	0	345.56	299.41	349.7	349.6	349.5	349.2	349.1	348.5	348.4	348.4	347.9	347.9	347.7	347.6	346.8	345.6	347.8	348.2										
6791581	606.3	349.76	0.000000010	0	345.58	299.41	349.8	349.6	349.6	349.2	349.1	348.5	348.4	348.4	347.9	347.9	347.7	347.7	346.9	345.6	347.8	348.2										
6791591	580.4	349.79	0.000000010	0	345.61	299.41	349.8	349.6	349.6	349.3	349.1	348.5	348.4	348.4	347.9	347.9	347.8	347.7	346.9	345.6	347.8	348.2										
6791601	588.1	349.82	0.000000010	0	345.61	299.44	349.8	349.7	349.6	349.3	349.2	348.6	348.5	348.4	348	348	347.8	347.7	346.9	345.6	347.8	348.2										
6791611	614.7	349.81	0.000000010	0	345.63	299.46	349.8	349.6	349.6	349.3	349.2	348.6	348.5	348.5	348	348	347.8	347.7	346.9	345.6	347.8	348.2										
6791621	612.2	349.81	0.000000010	1.94	345.64	299.46	349.8	349.7	349.6	349.3	349.2	348.6	348.5	348.5	348	348	347.9	347.7	346.9	345.6	347.8	348.2										
6791631	568.7	349.8	0.000000010	0.62	345.68	299.43	349.8	349.6	349.6	349.3	349.2	348.6	348.5	348.5	348	348	347.9	347.8	346.9	345.7	347.8	348.2										
6791641	627.3	349.78	0.000000010	1.86	345.97	299.43	349.8	349.6	349.6	349.3	349.2	348.6	348.5	348.5	348	348	347.9	347.8	346.8	346	347.8	348.1										
