#1	
double	test(2502,2)
0	0
7123322.711	0.9
7123522.370	1.6
7123822.333	0.9
7123832.383	1.0
7123842.334	1.0
7123852.334	1.0
7123862.335	0.9
7123872.385	0.9
7123882.335	0.9
7123892.336	1.0
7123902.386	1.0
7123912.387	1.0
7123922.387	1.0
7123932.338	0.9
7123942.388	0.9
7123952.388	1.0
7123962.389	1.0
7123972.339	1.0
7123982.390	1.0
7123992.340	0.9
7124002.391	0.9
7124012.391	1.0
7124022.391	0.9
7124032.392	0.9
7124042.392	1.0
7124052.343	1.0
7124062.393	0.9
7124072.394	1.0
7124082.394	1.0
7124092.344	1.0
7124102.395	1.0
7124112.395	1.0
7124122.346	1.0
7124132.396	1.0
7124142.397	1.0
7124152.397	1.0
7124162.347	1.0
7124172.398	1.0
7124182.348	1.0
7124192.399	0.9
7124202.399	1.0
7124212.400	1.0
7124222.400	1.0
7124232.400	1.0
7124242.401	1.0
7124252.401	1.0
7124262.402	1.0
7124272.352	1.1
7124282.403	1.0
7124292.403	1.0
7124302.403	0.9
7124312.354	1.0
7124322.354	1.0
7124332.405	1.0
7124342.405	1.0
7124352.356	1.0
7124362.356	0.9
7124372.356	1.0
7124382.407	1.0
7124392.407	1.0
7124402.408	1.0
7124412.358	1.0
7124422.409	1.0
7124432.409	1.0
7124442.409	1.0
7124452.410	1.0
7124462.360	1.0
7124472.361	0.9
7124482.361	1.0
7124492.362	1.0
7124502.362	1.0
7124512.412	1.0
7124522.363	1.0
7124532.413	1.0
7124542.414	1.0
7124552.364	1.0
7124562.415	1.0
7124572.415	1.0
7124582.415	1.0
7124592.416	1.0
7124602.416	1.0
7124612.367	1.0
7124622.367	1.0
7124632.418	1.0
7124642.418	1.0
7124652.418	1.0
7124662.419	1.0
7124672.369	1.0
7124682.420	1.0
7124692.370	1.0
7124702.371	1.0
7124712.421	1.0
7124722.371	1.0
7124732.372	1.0
7124742.422	1.0
7124752.423	1.0
7124762.373	1.0
7124772.424	1.0
7124782.424	1.0
7124792.424	1.0
7124802.425	1.0
7124812.375	1.1
7124822.376	1.0
7124832.426	1.0
7124842.427	1.0
7124852.427	1.0
7124862.427	1.0
7124872.378	1.0
7124882.378	1.0
7124892.379	1.0
7124902.429	1.0
7124912.380	0.9
7124922.430	1.0
7124932.430	1.0
7124942.381	1.0
7124952.431	1.0
7124962.432	1.0
7124972.382	1.0
7124982.433	1.0
7124992.433	1.1
7125002.383	1.0
7125012.434	1.0
7125022.434	1.0
7125032.435	1.0
7125042.435	1.0
7125052.436	1.0
7125062.436	1.0
7125072.436	1.0
7125082.437	1.0
7125092.437	1.0
7125102.388	1.0
7125112.388	1.0
7125122.439	0.9
7125132.389	1.0
7125142.439	1.0
7125152.440	1.0
7125162.440	1.0
7125172.441	1.0
7125182.441	1.0
7125192.441	1.0
7125202.392	1.0
7125212.442	1.0
7125222.443	1.0
7125232.393	1.0
7125242.394	1.0
7125252.444	1.0
7125262.444	1.0
7125272.445	1.0
7125282.445	1.0
7125292.396	1.0
7125302.396	1.0
7125312.397	1.0
7125322.447	1.0
7125332.447	1.0
7125342.448	1.0
7125352.398	1.0
7125362.449	1.0
7125372.399	0.9
7125382.450	1.0
7125392.400	0.9
7125402.450	1.0
7125412.451	1.0
7125422.401	0.9
7125432.452	1.0
7125442.402	0.9
7125452.453	1.0
7125462.453	0.9
7125472.403	1.0
