#1			
float	DNI_THTFin_vdot(1779,4)		
0	0	273.15	0
7123322.711	0.9	297.21	0.000003236
7123522.370	1.6	297.95	0.000003242
7123822.333	0.9	296.48	0.000000000
7123832.383	1.0	296.54	0.000000000
7123842.334	1.0	296.56	0.000000000
7123852.334	1.0	296.56	0.000000000
7123862.335	0.9	296.58	0.000000000
7123872.385	0.9	296.58	0.000000000
7123882.335	0.9	296.58	0.000000000
7123892.336	1.0	296.62	0.000000000
7123902.386	1.0	296.71	0.000000000
7123912.387	1.0	296.85	0.000000000
7123922.387	1.0	297.06	0.000000000
7123932.338	0.9	297.41	0.000000000
7123942.388	0.9	297.71	0.000000000
7123952.388	1.0	298.15	0.000000000
7123962.389	1.0	298.54	0.000000000
7123972.339	1.0	298.92	0.000000000
7123982.390	1.0	299.31	0.000000000
7123992.340	0.9	300.16	0.000000000
7124002.391	0.9	300.89	0.000000000
7124012.391	1.0	301.45	0.000000000
7124022.391	0.9	301.84	0.000000000
7124032.392	0.9	302.13	0.000000000
7124042.392	1.0	302.31	0.000000000
7124052.343	1.0	302.47	0.000000000
7124062.393	0.9	302.62	0.000000000
7124072.394	1.0	302.78	0.000000000
7124082.394	1.0	302.88	0.000000000
7124092.344	1.0	303.01	0.000000000
7124102.395	1.0	303.14	0.000000000
7124112.395	1.0	303.30	0.000000000
7124122.346	1.0	303.41	0.000000000
7124132.396	1.0	303.42	0.000000000
7124142.397	1.0	303.56	0.000000000
7124152.397	1.0	303.65	0.000000000
7124162.347	1.0	303.72	0.000000000
7124172.398	1.0	303.73	0.000000000
7124182.348	1.0	303.48	0.000000000
7124192.399	0.9	303.28	0.000000000
7124202.399	1.0	303.18	0.000000000
7124212.400	1.0	303.08	0.000000000
7124222.400	1.0	303.00	0.000000000
7124232.400	1.0	302.91	0.000000000
7124242.401	1.0	302.82	0.000000000
7124252.401	1.0	302.77	0.000000000
7124262.402	1.0	302.71	0.000000000
7124272.352	1.1	302.67	0.000000000
7124282.403	1.0	302.61	0.000000000
7124292.403	1.0	302.57	0.000000000
7124302.403	0.9	302.53	0.000000000
7124312.354	1.0	302.50	0.000000000
7124322.354	1.0	302.45	0.000000000
7124332.405	1.0	302.43	0.000000000
7124342.405	1.0	302.40	0.000000000
7124352.356	1.0	302.37	0.000000000
7124362.356	0.9	302.32	0.000000000
7124372.356	1.0	302.28	0.000000000
7124382.407	1.0	302.24	0.000000000
7124392.407	1.0	302.21	0.000000000
7124402.408	1.0	302.18	0.000000000
7124412.358	1.0	302.15	0.000000000
7124422.409	1.0	302.10	0.000000000
7124432.409	1.0	302.07	0.000000000
7124442.409	1.0	302.05	0.000000000
7124452.410	1.0	302.01	0.000000000
7124462.360	1.0	301.98	0.000000000
7124472.361	0.9	301.95	0.000000000
7124482.361	1.0	301.91	0.000000000
7124492.362	1.0	301.88	0.000000000
7124502.362	1.0	301.85	0.000000000
7124512.412	1.0	301.83	0.000000000
7124522.363	1.0	301.80	0.000000000
7124532.413	1.0	301.76	0.000000000
7124542.414	1.0	301.73	0.000000000
7124552.364	1.0	301.69	0.000000000
7124562.415	1.0	301.68	0.000000000
7124572.415	1.0	301.65	0.000000000
7124582.415	1.0	301.62	0.000000000
7124592.416	1.0	301.59	0.000000000
7124602.416	1.0	301.56	0.000000000
7124612.367	1.0	301.55	0.000000000
7124622.367	1.0	301.51	0.000000000
7124632.418	1.0	301.48	0.000000000
7124642.418	1.0	301.46	0.000000000
7124652.418	1.0	301.44	0.000000000
7124662.419	1.0	301.41	0.000000000
7124672.369	1.0	301.39	0.000000000
7124682.420	1.0	301.34	0.000000000
7124692.370	1.0	301.32	0.000000000
7124702.371	1.0	301.30	0.000000000
7124712.421	1.0	301.26	0.000000000
7124722.371	1.0	301.25	0.000000000
7124732.372	1.0	301.21	0.000000000
7124742.422	1.0	301.19	0.000000000
7124752.423	1.0	301.16	0.000000000
7124762.373	1.0	301.14	0.000000000
7124772.424	1.0	301.11	0.000000000
7124782.424	1.0	301.08	0.000000000
7124792.424	1.0	301.06	0.000000000
7124802.425	1.0	301.04	0.000000000
7124812.375	1.1	301.00	0.000000000
7124822.376	1.0	300.98	0.000000000
7124832.426	1.0	300.95	0.000000000
7124842.427	1.0	300.93	0.000000000
7124852.427	1.0	300.90	0.000000000
7124862.427	1.0	300.88	0.000000000
7124872.378	1.0	300.84	0.000000000
7124882.378	1.0	300.84	0.000000000
7124892.379	1.0	300.82	0.000000000
7124902.429	1.0	300.81	0.000000000
7124912.380	0.9	300.78	0.000000000
7124922.430	1.0	300.77	0.000000000
7124932.430	1.0	300.75	0.000000000
7124942.381	1.0	300.73	0.000000000
7124952.431	1.0	300.70	0.000000000
7124962.432	1.0	300.70	0.000000000
7124972.382	1.0	300.67	0.000000000
7124982.433	1.0	300.66	0.000000000
7124992.433	1.1	300.65	0.000000000
7125002.383	1.0	300.63	0.000000000
7125012.434	1.0	300.61	0.000000000
7125022.434	1.0	300.61	0.000000000
7125032.435	1.0	300.59	0.000000000
7125042.435	1.0	300.57	0.000000000
7125052.436	1.0	300.56	0.000000000
7125062.436	1.0	300.54	0.000000000
7125072.436	1.0	300.55	0.000000000
7125082.437	1.0	300.53	0.000000000
7125092.437	1.0	300.52	0.000000000
7125102.388	1.0	300.53	0.000000000
7125112.388	1.0	300.52	0.000000000
7125122.439	0.9	300.50	0.000000000
7125132.389	1.0	300.48	0.000000000
7125142.439	1.0	300.47	0.000000000
7125152.440	1.0	300.45	0.000000000
7125162.440	1.0	300.45	0.000000000
7125172.441	1.0	300.42	0.000000000
7125182.441	1.0	300.42	0.000000000
7125192.441	1.0	300.41	0.000000000
7125202.392	1.0	300.41	0.000000000
7125212.442	1.0	300.40	0.000000000
7125222.443	1.0	300.41	0.000000000
7125232.393	1.0	300.40	0.000000000
7125242.394	1.0	300.39	0.000000000
7125252.444	1.0	300.44	0.000000000
7125262.444	1.0	300.45	0.000000000
7125272.445	1.0	300.47	0.000000000
7125282.445	1.0	300.48	0.000000000
7125292.396	1.0	300.48	0.000000000
7125302.396	1.0	300.48	0.000000000
7125312.397	1.0	300.48	0.000000000
7125322.447	1.0	300.49	0.000000000
7125332.447	1.0	300.50	0.000000000
7125342.448	1.0	300.49	0.000000000
7125352.398	1.0	300.50	0.000000000
7125362.449	1.0	300.50	0.000000000
7125372.399	0.9	300.53	0.000000000
7125382.450	1.0	300.54	0.000000000
7125392.400	0.9	300.56	0.000000000
7125402.450	1.0	300.58	0.000000000
7125412.451	1.0	300.62	0.000000000
7125422.401	0.9	300.61	0.000000000
7125432.452	1.0	300.64	0.000000000
7125442.402	0.9	300.65	0.000000000
7125452.453	1.0	300.65	0.000000000
7125462.453	0.9	300.69	0.000000000
7125472.403	1.0	300.71	0.000000000
7125482.404	1.0	300.72	0.000000000
7125492.404	1.0	300.70	0.000000000
7125502.405	1.0	300.72	0.000000000
7125512.405	1.0	300.73	0.000000000
7125522.456	1.0	300.71	0.000000000
7125532.456	1.0	300.71	0.000000000
7125542.406	1.0	300.72	0.000000000
7125552.457	1.0	300.71	0.000000000
7125562.407	1.0	300.72	0.000000000
7125572.458	0.9	300.72	0.000000000
7125582.408	0.9	300.72	0.000000000
7125592.459	1.0	300.73	0.000000000
7125602.459	1.0	300.74	0.000000000
7125612.409	1.0	300.73	0.000000000
7125622.460	1.0	300.74	0.000000000
7125632.460	1.0	300.75	0.000000000
7125642.411	1.0	300.74	0.000000000
7125652.411	1.0	300.75	0.000000000
7125662.412	1.0	300.75	0.000000000
7125672.462	1.0	300.75	0.000000000
7125682.412	1.0	300.75	0.000000000
7125692.463	0.9	300.76	0.000000000
7125702.463	1.0	300.75	0.000000000
7125712.464	1.0	300.76	0.000000000
7125722.414	1.0	300.77	0.000000000
7125732.465	1.0	300.77	0.000000000
7125742.465	1.0	300.77	0.000000000
7125752.415	1.0	300.77	0.000000000
7125762.466	1.0	300.78	0.000000000
7125772.416	1.0	300.77	0.000000000
7125782.467	0.9	300.78	0.000000000
7125792.467	0.9	300.78	0.000000000
7125802.468	1.0	300.77	0.000000000
7125812.468	1.0	300.77	0.000000000
7125822.468	1.0	300.76	0.000000000
7125832.469	0.9	300.75	0.000000000
7125842.469	1.0	300.77	0.000000000
7125852.470	1.0	300.77	0.000000000
7125862.420	1.0	300.77	0.000000000
7125872.471	1.0	300.77	0.000000000
7125882.471	1.0	300.75	0.000000000
7125892.471	1.0	300.76	0.000000000
7125902.422	1.0	300.79	0.000000000
7125912.422	1.0	300.81	0.000000000
7125922.473	1.0	300.83	0.000000000
7125932.473	0.9	300.84	0.000000000
7125942.474	1.0	300.84	0.000000000
7125952.474	1.0	300.83	0.000000000
7125962.424	1.0	300.82	0.000000000
7125972.475	1.0	300.82	0.000000000
7125982.475	1.0	300.82	0.000000000
7125992.476	1.0	300.82	0.000000000
7126002.476	1.0	300.82	0.000000000
7126012.477	1.0	300.81	0.000000000
7126022.477	1.0	300.81	0.000000000
7126032.427	1.0	300.81	0.000000000
7126042.428	1.0	300.80	0.000000000
7126052.478	1.0	300.79	0.000000000
7126062.429	1.0	300.81	0.000000000
7126072.429	1.0	300.81	0.000000000
7126082.480	1.0	300.79	0.000000000
7126092.480	1.0	300.82	0.000000000
7126102.430	1.0	300.83	0.000000000
7126112.481	1.0	300.74	0.000000000
7126122.481	1.0	300.67	0.000000000
7126132.432	1.0	300.62	0.000000000
7126142.482	0.9	300.57	0.000000000
7126152.433	1.0	300.50	0.000000000
7126162.483	1.0	300.44	0.000000000
7126172.483	1.0	300.37	0.000000000
7126182.484	1.0	300.36	0.000000000
7126192.434	0.9	300.27	0.000000000
7126202.485	1.0	300.27	0.000000000
7126212.435	1.0	300.28	0.000000000
7126222.436	1.0	300.28	0.000000000
7126232.486	1.0	300.29	0.000000000
7126242.436	0.9	300.28	0.000000000
7126252.487	1.0	300.28	0.000000000
7126262.437	1.0	300.27	0.000000000
7126272.488	1.0	300.26	0.000000000
7126282.488	1.0	300.26	0.000000000
7126292.439	1.0	300.29	0.000000000
7126302.489	1.0	301.72	0.000000000
7126312.489	1.0	301.05	0.000000000
7126322.490	1.0	300.87	0.000000000
7126332.440	1.0	300.89	0.000000000
7126342.491	1.0	300.80	0.000000000
7126352.441	0.9	300.78	0.000000000
7126362.442	1.0	300.75	0.000000000
7126372.492	1.0	300.73	0.000000000
7126382.442	1.0	300.71	0.000000000
7126392.493	1.0	300.71	0.000000000
7126402.443	0.9	300.69	0.000000000
7126412.444	1.0	300.68	0.000000000
7126422.444	1.0	300.67	0.000000000
7126432.445	1.0	300.66	0.000000000
7126442.445	0.9	300.66	0.000000000
7126452.495	1.0	300.63	0.000000000
7126462.446	0.9	300.63	0.000000000
7126472.496	1.0	300.61	0.000000000
7126482.497	0.9	300.61	0.000000000
7126492.497	1.0	300.59	0.000000000
7126502.498	1.0	300.59	0.000000000
7126512.498	1.0	300.59	0.000000000
7126522.498	1.0	300.58	0.000000000
7126532.499	1.0	300.57	0.000000000
7126542.499	1.0	300.56	0.000000000
7126552.500	1.0	300.52	0.000000000
7126562.500	1.0	300.52	0.000000000
7126572.451	1.0	300.49	0.000000000
7126582.501	1.0	300.48	0.000000000
7126592.501	0.9	300.46	0.000000000
7126602.502	1.0	300.45	0.000000000
7126612.502	1.0	300.50	0.000000000
7126622.503	0.9	300.53	0.000000000
7126632.453	1.0	300.52	0.000000000
7126642.504	0.9	300.51	0.000000000
7126652.504	0.9	300.51	0.000000000
7126662.454	1.0	300.50	0.000000000
7126672.505	0.9	300.50	0.000000000
7126682.455	1.0	300.47	0.000000000
7126692.506	0.9	300.48	0.000000000
7126702.506	1.0	300.47	0.000000000
7126712.507	0.9	300.46	0.000000000
7126722.457	1.0	300.43	0.000000000
7126732.457	1.0	300.42	0.000000000
7126742.458	1.0	300.41	0.000000000
7126752.458	1.0	300.40	0.000000000
7126762.509	1.0	300.39	0.000000000
7126772.509	1.0	300.37	0.000000000
7126782.460	0.9	300.35	0.000000000
7126792.510	1.0	300.32	0.000000000
7126802.460	1.0	300.30	0.000000000
7126812.461	1.0	300.26	0.000000000
7126822.461	1.0	300.23	0.000000000
7126832.512	1.0	300.21	0.000000000
7126842.462	0.9	300.17	0.000000000
7126852.463	1.0	300.16	0.000000000
7126862.463	1.0	300.15	0.000000000
7126872.513	0.9	300.15	0.000000000
7126882.464	0.9	300.13	0.000000000
7126892.514	0.9	300.11	0.000000000
7126902.515	1.0	300.12	0.000000000
7126912.515	0.9	300.11	0.000000000
7126922.466	1.0	300.10	0.000000000
7126932.516	1.0	300.10	0.000000000
7126942.516	1.0	300.10	0.000000000
7126952.517	1.0	300.07	0.000000000
7126962.517	1.0	300.05	0.000000000
7126972.468	1.0	300.04	0.000000000
7126982.468	1.0	300.03	0.000000000
7126992.519	1.0	300.01	0.000000000
7127002.519	1.0	299.99	0.000000000
7127012.519	1.0	299.96	0.000000000
7127022.520	1.0	299.95	0.000000000
7127032.520	1.0	299.92	0.000000000
7127042.521	1.0	299.91	0.000000000
7127052.471	1.0	299.90	0.000000000
7127062.472	0.9	299.87	0.000000000
7127072.472	1.0	299.87	0.000000000
7127082.522	0.9	299.85	0.000000000
7127092.473	0.9	299.85	0.000000000
7127102.523	1.0	299.82	0.000000000
7127112.524	1.0	299.81	0.000000000
7127122.524	0.9	299.80	0.000000000
7127132.475	1.0	299.78	0.000000000
7127142.475	1.0	299.78	0.000000000
7127152.525	1.0	299.75	0.000000000
7127162.476	0.9	299.74	0.000000000
7127172.476	1.0	299.74	0.000000000
7127182.527	0.9	299.73	0.000000000
7127192.477	0.9	299.73	0.000000000
7127202.478	1.0	299.73	0.000000000
7127212.478	1.0	299.70	0.000000000
7127222.478	1.0	299.69	0.000000000
7127232.529	0.9	299.70	0.000000000
7127242.529	1.0	299.71	0.000000000
7127252.480	0.9	299.69	0.000000000
7127262.480	1.0	299.69	0.000000000
7127272.531	0.9	299.66	0.000000000
7127282.531	0.9	299.65	0.000000000
7127292.481	1.0	299.66	0.000000000
7127302.482	0.9	299.65	0.000000000
7127312.482	1.0	299.64	0.000000000
7127322.533	0.9	298.09	0.000000000
7127332.483	0.9	298.31	0.000000000
7127342.484	1.0	298.31	0.000000000
7127352.534	1.0	298.38	0.000000000
7127362.484	0.9	298.54	0.000000000
7127372.535	1.0	298.68	0.000000000
7127382.535	0.9	298.78	0.000000000
7127392.486	1.0	298.86	0.000000000
7127402.486	0.9	299.26	0.000000000
7127412.537	0.9	300.35	0.000000000
7127422.487	0.9	301.17	0.000000000
7127432.537	1.0	300.56	0.000000000
7127442.538	1.0	300.46	0.000000000
7127452.538	1.0	300.34	0.000000000
7127462.539	1.0	300.24	0.000000000
7127472.489	0.9	300.17	0.000000000
7127482.540	0.9	300.09	0.000000000
7127492.490	1.0	300.03	0.000000000
7127502.540	0.9	300.00	0.000000000
7127512.491	0.9	299.95	0.000000000
7127522.491	1.0	299.92	0.000000000
7127532.542	1.0	299.90	0.000000000
7127542.542	0.9	299.88	0.000000000
7127552.543	1.0	299.88	0.000000000
7127562.543	1.0	299.86	0.000000000
7127572.493	0.9	299.85	0.000000000
7127582.544	1.0	299.83	0.000000000
7127592.544	1.0	299.83	0.000000000
7127602.545	1.0	299.82	0.000000000
7127612.495	1.0	299.83	0.000000000
7127622.546	1.0	299.80	0.000000000
7127632.546	1.0	299.80	0.000000000
7127642.496	1.0	299.79	0.000000000
7127652.497	1.0	299.78	0.000000000
7127662.497	0.9	299.77	0.000000000
7127672.548	0.9	299.78	0.000000000
7127682.548	1.0	299.76	0.000000000
7127692.549	1.0	299.76	0.000000000
7127702.549	1.0	299.75	0.000000000
7127712.549	1.0	299.74	0.000000000
7127722.500	1.0	299.73	0.000000000
7127732.500	0.9	299.74	0.000000000
7127742.501	1.0	299.71	0.000000000
7127752.501	0.9	299.72	0.000000000
7127762.502	1.0	299.71	0.000000000
7127772.552	1.0	299.69	0.000000000
7127782.552	0.9	299.69	0.000000000
7127792.503	1.0	299.68	0.000000000
7127802.553	1.0	299.65	0.000000000
7127812.504	0.9	299.65	0.000000000
7127822.554	1.0	299.64	0.000000000
7127832.505	0.9	299.64	0.000000000
7127842.505	1.0	299.62	0.000000000
7127852.555	1.0	299.63	0.000000000
7127862.556	1.0	299.61	0.000000000
7127872.506	1.0	299.61	0.000000000
7127882.507	0.9	299.59	0.000000000
7127892.557	1.0	299.58	0.000000000
7127902.557	1.0	299.58	0.000000000
7127912.558	1.0	299.56	0.000000000
7127922.558	0.9	299.55	0.000000000
7127932.509	0.9	299.54	0.000000000
7127942.559	1.0	299.55	0.000000000
7127952.560	1.0	299.51	0.000000000
7127962.560	1.0	299.49	0.000000000
7127972.560	1.0	299.49	0.000000000
7127982.561	1.0	299.48	0.000000000
7127992.511	0.9	299.47	0.000000000
7128002.512	0.9	299.45	0.000000000
7128012.512	1.0	299.44	0.000000000
7128022.563	0.9	299.43	0.000000000
7128032.563	0.9	299.41	0.000000000
7128042.513	1.0	299.42	0.000000000
7128052.514	1.0	299.42	0.000000000
7128062.514	1.0	299.40	0.000000000
7128072.565	1.0	299.39	0.000000000
7128082.565	1.0	299.38	0.000000000
7128092.516	1.0	299.37	0.000000000
7128102.516	0.9	299.35	0.000000000
7128112.566	1.0	299.34	0.000000000
7128122.567	1.0	299.34	0.000000000
7128132.567	1.0	299.33	0.000000000
7128142.568	1.0	299.32	0.000000000
7128152.518	0.9	299.31	0.000000000
7128162.519	1.0	299.29	0.000000000
7128172.569	0.9	299.29	0.000000000
7128182.569	0.9	299.27	0.000000000
7128192.570	1.0	299.28	0.000000000
7128202.520	1.0	299.26	0.000000000
7128212.571	1.0	299.25	0.000000000
7128222.571	1.0	299.23	0.000000000
7128232.522	1.0	299.22	0.000000000
7128242.522	1.0	299.20	0.000000000
7128252.572	1.0	299.19	0.000000000
7128262.523	1.0	299.17	0.000000000
7128272.573	0.9	299.16	0.000000000
