#1			
float	DNI_THTFin_vdot(1779,4)		
0	0	273.15	0
7123322.711	0.9	297.21	0.000003236
7123522.37	1.6	297.95	0.000003242
7123822.333	0.9	296.48	0
7123832.383	1	296.54	0
7123842.334	1	296.56	0
7123852.334	1	296.56	0
7123862.335	0.9	296.58	0
7123872.385	0.9	296.58	0
7123882.335	0.9	296.58	0
7123892.336	1	296.62	0
7123902.386	1	296.71	0
7123912.387	1	296.85	0
7123922.387	1	297.06	0
7123932.338	0.9	297.41	0
7123942.388	0.9	297.71	0
7123952.388	1	298.15	0
7123962.389	1	298.54	0
7123972.339	1	298.92	0
7123982.39	1	299.31	0
7123992.34	0.9	300.16	0
7124002.391	0.9	300.89	0
7124012.391	1	301.45	0
7124022.391	0.9	301.84	0
7124032.392	0.9	302.13	0
7124042.392	1	302.31	0
7124052.343	1	302.47	0
7124062.393	0.9	302.62	0
7124072.394	1	302.78	0
7124082.394	1	302.88	0
7124092.344	1	303.01	0
7124102.395	1	303.14	0
7124112.395	1	303.3	0
7124122.346	1	303.41	0
7124132.396	1	303.42	0
7124142.397	1	303.56	0
7124152.397	1	303.65	0
7124162.347	1	303.72	0
7124172.398	1	303.73	0
7124182.348	1	303.48	0
7124192.399	0.9	303.28	0
7124202.399	1	303.18	0
7124212.4	1	303.08	0
7124222.4	1	303	0
7124232.4	1	302.91	0
7124242.401	1	302.82	0
7124252.401	1	302.77	0
7124262.402	1	302.71	0
7124272.352	1.1	302.67	0
7124282.403	1	302.61	0
7124292.403	1	302.57	0
7124302.403	0.9	302.53	0
7124312.354	1	302.5	0
7124322.354	1	302.45	0
7124332.405	1	302.43	0
7124342.405	1	302.4	0
7124352.356	1	302.37	0
7124362.356	0.9	302.32	0
7124372.356	1	302.28	0
7124382.407	1	302.24	0
7124392.407	1	302.21	0
7124402.408	1	302.18	0
7124412.358	1	302.15	0
7124422.409	1	302.1	0
7124432.409	1	302.07	0
7124442.409	1	302.05	0
7124452.41	1	302.01	0
7124462.36	1	301.98	0
7124472.361	0.9	301.95	0
7124482.361	1	301.91	0
7124492.362	1	301.88	0
7124502.362	1	301.85	0
7124512.412	1	301.83	0
7124522.363	1	301.8	0
7124532.413	1	301.76	0
7124542.414	1	301.73	0
7124552.364	1	301.69	0
7124562.415	1	301.68	0
7124572.415	1	301.65	0
7124582.415	1	301.62	0
7124592.416	1	301.59	0
7124602.416	1	301.56	0
7124612.367	1	301.55	0
7124622.367	1	301.51	0
7124632.418	1	301.48	0
7124642.418	1	301.46	0
7124652.418	1	301.44	0
7124662.419	1	301.41	0
7124672.369	1	301.39	0
7124682.42	1	301.34	0
7124692.37	1	301.32	0
7124702.371	1	301.3	0
7124712.421	1	301.26	0
7124722.371	1	301.25	0
7124732.372	1	301.21	0
7124742.422	1	301.19	0
7124752.423	1	301.16	0
7124762.373	1	301.14	0
7124772.424	1	301.11	0
7124782.424	1	301.08	0
7124792.424	1	301.06	0
7124802.425	1	301.04	0
7124812.375	1.1	301	0
7124822.376	1	300.98	0
7124832.426	1	300.95	0
7124842.427	1	300.93	0
7124852.427	1	300.9	0
7124862.427	1	300.88	0
7124872.378	1	300.84	0
7124882.378	1	300.84	0
7124892.379	1	300.82	0
7124902.429	1	300.81	0
7124912.38	0.9	300.78	0
7124922.43	1	300.77	0
7124932.43	1	300.75	0
7124942.381	1	300.73	0
7124952.431	1	300.7	0
7124962.432	1	300.7	0
7124972.382	1	300.67	0
7124982.433	1	300.66	0
7124992.433	1.1	300.65	0
7125002.383	1	300.63	0
7125012.434	1	300.61	0
7125022.434	1	300.61	0
7125032.435	1	300.59	0
7125042.435	1	300.57	0
7125052.436	1	300.56	0
7125062.436	1	300.54	0
7125072.436	1	300.55	0
7125082.437	1	300.53	0
7125092.437	1	300.52	0
7125102.388	1	300.53	0
7125112.388	1	300.52	0
7125122.439	0.9	300.5	0
7125132.389	1	300.48	0
7125142.439	1	300.47	0
7125152.44	1	300.45	0
7125162.44	1	300.45	0
7125172.441	1	300.42	0
7125182.441	1	300.42	0
7125192.441	1	300.41	0
7125202.392	1	300.41	0
7125212.442	1	300.4	0
7125222.443	1	300.41	0
7125232.393	1	300.4	0
7125242.394	1	300.39	0
7125252.444	1	300.44	0
7125262.444	1	300.45	0
7125272.445	1	300.47	0
7125282.445	1	300.48	0
7125292.396	1	300.48	0
7125302.396	1	300.48	0
7125312.397	1	300.48	0
7125322.447	1	300.49	0
7125332.447	1	300.5	0
7125342.448	1	300.49	0
7125352.398	1	300.5	0
7125362.449	1	300.5	0
7125372.399	0.9	300.53	0
7125382.45	1	300.54	0
7125392.4	0.9	300.56	0
7125402.45	1	300.58	0
7125412.451	1	300.62	0
7125422.401	0.9	300.61	0
7125432.452	1	300.64	0
7125442.402	0.9	300.65	0
7125452.453	1	300.65	0
7125462.453	0.9	300.69	0
7125472.403	1	300.71	0
7125482.404	1	300.72	0
7125492.404	1	300.7	0
7125502.405	1	300.72	0
7125512.405	1	300.73	0
7125522.456	1	300.71	0
7125532.456	1	300.71	0
7125542.406	1	300.72	0
7125552.457	1	300.71	0
7125562.407	1	300.72	0
7125572.458	0.9	300.72	0
7125582.408	0.9	300.72	0
7125592.459	1	300.73	0
7125602.459	1	300.74	0
7125612.409	1	300.73	0
7125622.46	1	300.74	0
7125632.46	1	300.75	0
7125642.411	1	300.74	0
7125652.411	1	300.75	0
7125662.412	1	300.75	0
7125672.462	1	300.75	0
7125682.412	1	300.75	0
7125692.463	0.9	300.76	0
7125702.463	1	300.75	0
7125712.464	1	300.76	0
7125722.414	1	300.77	0
7125732.465	1	300.77	0
7125742.465	1	300.77	0
7125752.415	1	300.77	0
7125762.466	1	300.78	0
7125772.416	1	300.77	0
7125782.467	0.9	300.78	0
7125792.467	0.9	300.78	0
7125802.468	1	300.77	0
7125812.468	1	300.77	0
7125822.468	1	300.76	0
7125832.469	0.9	300.75	0
7125842.469	1	300.77	0
7125852.47	1	300.77	0
7125862.42	1	300.77	0
7125872.471	1	300.77	0
7125882.471	1	300.75	0
7125892.471	1	300.76	0
7125902.422	1	300.79	0
7125912.422	1	300.81	0
7125922.473	1	300.83	0
7125932.473	0.9	300.84	0
7125942.474	1	300.84	0
7125952.474	1	300.83	0
7125962.424	1	300.82	0
7125972.475	1	300.82	0
7125982.475	1	300.82	0
7125992.476	1	300.82	0
7126002.476	1	300.82	0
7126012.477	1	300.81	0
7126022.477	1	300.81	0
7126032.427	1	300.81	0
7126042.428	1	300.8	0
7126052.478	1	300.79	0
7126062.429	1	300.81	0
7126072.429	1	300.81	0
7126082.48	1	300.79	0
7126092.48	1	300.82	0
7126102.43	1	300.83	0
7126112.481	1	300.74	0
7126122.481	1	300.67	0
7126132.432	1	300.62	0
7126142.482	0.9	300.57	0
7126152.433	1	300.5	0
7126162.483	1	300.44	0
7126172.483	1	300.37	0
7126182.484	1	300.36	0
7126192.434	0.9	300.27	0
7126202.485	1	300.27	0
7126212.435	1	300.28	0
7126222.436	1	300.28	0
7126232.486	1	300.29	0
7126242.436	0.9	300.28	0
7126252.487	1	300.28	0
7126262.437	1	300.27	0
7126272.488	1	300.26	0
7126282.488	1	300.26	0
7126292.439	1	300.29	0
7126302.489	1	301.72	0
7126312.489	1	301.05	0
7126322.49	1	300.87	0
7126332.44	1	300.89	0
7126342.491	1	300.8	0
7126352.441	0.9	300.78	0
7126362.442	1	300.75	0
7126372.492	1	300.73	0
7126382.442	1	300.71	0
7126392.493	1	300.71	0
7126402.443	0.9	300.69	0
7126412.444	1	300.68	0
7126422.444	1	300.67	0
7126432.445	1	300.66	0
7126442.445	0.9	300.66	0
7126452.495	1	300.63	0
7126462.446	0.9	300.63	0
7126472.496	1	300.61	0
7126482.497	0.9	300.61	0
7126492.497	1	300.59	0
7126502.498	1	300.59	0
7126512.498	1	300.59	0
7126522.498	1	300.58	0
7126532.499	1	300.57	0
7126542.499	1	300.56	0
7126552.5	1	300.52	0
7126562.5	1	300.52	0
7126572.451	1	300.49	0
7126582.501	1	300.48	0
7126592.501	0.9	300.46	0
7126602.502	1	300.45	0
7126612.502	1	300.5	0
7126622.503	0.9	300.53	0
7126632.453	1	300.52	0
7126642.504	0.9	300.51	0
7126652.504	0.9	300.51	0
7126662.454	1	300.5	0
7126672.505	0.9	300.5	0
7126682.455	1	300.47	0
7126692.506	0.9	300.48	0
7126702.506	1	300.47	0
7126712.507	0.9	300.46	0
7126722.457	1	300.43	0
7126732.457	1	300.42	0
7126742.458	1	300.41	0
7126752.458	1	300.4	0
7126762.509	1	300.39	0
7126772.509	1	300.37	0
7126782.46	0.9	300.35	0
7126792.51	1	300.32	0
7126802.46	1	300.3	0
7126812.461	1	300.26	0
7126822.461	1	300.23	0
7126832.512	1	300.21	0
7126842.462	0.9	300.17	0
7126852.463	1	300.16	0
7126862.463	1	300.15	0
7126872.513	0.9	300.15	0
7126882.464	0.9	300.13	0
7126892.514	0.9	300.11	0
7126902.515	1	300.12	0
7126912.515	0.9	300.11	0
7126922.466	1	300.1	0
7126932.516	1	300.1	0
7126942.516	1	300.1	0
7126952.517	1	300.07	0
7126962.517	1	300.05	0
7126972.468	1	300.04	0
7126982.468	1	300.03	0
7126992.519	1	300.01	0
7127002.519	1	299.99	0
7127012.519	1	299.96	0
7127022.52	1	299.95	0
7127032.52	1	299.92	0
7127042.521	1	299.91	0
7127052.471	1	299.9	0
7127062.472	0.9	299.87	0
7127072.472	1	299.87	0
7127082.522	0.9	299.85	0
7127092.473	0.9	299.85	0
7127102.523	1	299.82	0
7127112.524	1	299.81	0
7127122.524	0.9	299.8	0
7127132.475	1	299.78	0
7127142.475	1	299.78	0
7127152.525	1	299.75	0
7127162.476	0.9	299.74	0
7127172.476	1	299.74	0
7127182.527	0.9	299.73	0
7127192.477	0.9	299.73	0
7127202.478	1	299.73	0
7127212.478	1	299.7	0
7127222.478	1	299.69	0
7127232.529	0.9	299.7	0
7127242.529	1	299.71	0
7127252.48	0.9	299.69	0
7127262.48	1	299.69	0
7127272.531	0.9	299.66	0
7127282.531	0.9	299.65	0
7127292.481	1	299.66	0
7127302.482	0.9	299.65	0
7127312.482	1	299.64	0
7127322.533	0.9	298.09	0
7127332.483	0.9	298.31	0
7127342.484	1	298.31	0
7127352.534	1	298.38	0
7127362.484	0.9	298.54	0
7127372.535	1	298.68	0
7127382.535	0.9	298.78	0
7127392.486	1	298.86	0
7127402.486	0.9	299.26	0
7127412.537	0.9	300.35	0
7127422.487	0.9	301.17	0
7127432.537	1	300.56	0
7127442.538	1	300.46	0
7127452.538	1	300.34	0
7127462.539	1	300.24	0
7127472.489	0.9	300.17	0
7127482.54	0.9	300.09	0
7127492.49	1	300.03	0
7127502.54	0.9	300	0
7127512.491	0.9	299.95	0
7127522.491	1	299.92	0
7127532.542	1	299.9	0
7127542.542	0.9	299.88	0
7127552.543	1	299.88	0
7127562.543	1	299.86	0
7127572.493	0.9	299.85	0
7127582.544	1	299.83	0
7127592.544	1	299.83	0
7127602.545	1	299.82	0
7127612.495	1	299.83	0
7127622.546	1	299.8	0
7127632.546	1	299.8	0
7127642.496	1	299.79	0
7127652.497	1	299.78	0
7127662.497	0.9	299.77	0
7127672.548	0.9	299.78	0
7127682.548	1	299.76	0
7127692.549	1	299.76	0
7127702.549	1	299.75	0
7127712.549	1	299.74	0
7127722.5	1	299.73	0
7127732.5	0.9	299.74	0
7127742.501	1	299.71	0
7127752.501	0.9	299.72	0
7127762.502	1	299.71	0
7127772.552	1	299.69	0
7127782.552	0.9	299.69	0
7127792.503	1	299.68	0
7127802.553	1	299.65	0
7127812.504	0.9	299.65	0
7127822.554	1	299.64	0
7127832.505	0.9	299.64	0
7127842.505	1	299.62	0
7127852.555	1	299.63	0
7127862.556	1	299.61	0
7127872.506	1	299.61	0
7127882.507	0.9	299.59	0
7127892.557	1	299.58	0
7127902.557	1	299.58	0
7127912.558	1	299.56	0
7127922.558	0.9	299.55	0
7127932.509	0.9	299.54	0
7127942.559	1	299.55	0
7127952.56	1	299.51	0
7127962.56	1	299.49	0
7127972.56	1	299.49	0
7127982.561	1	299.48	0
7127992.511	0.9	299.47	0
7128002.512	0.9	299.45	0
7128012.512	1	299.44	0
7128022.563	0.9	299.43	0
7128032.563	0.9	299.41	0
7128042.513	1	299.42	0
7128052.514	1	299.42	0
7128062.514	1	299.4	0
7128072.565	1	299.39	0
7128082.565	1	299.38	0
7128092.516	1	299.37	0
7128102.516	0.9	299.35	0
7128112.566	1	299.34	0
7128122.567	1	299.34	0
7128132.567	1	299.33	0
7128142.568	1	299.32	0
7128152.518	0.9	299.31	0
7128162.519	1	299.29	0
7128172.569	0.9	299.29	0
7128182.569	0.9	299.27	0
7128192.57	1	299.28	0
7128202.52	1	299.26	0
7128212.571	1	299.25	0
7128222.571	1	299.23	0
7128232.522	1	299.22	0
7128242.522	1	299.2	0
7128252.572	1	299.19	0
7128262.523	1	299.17	0
7128272.573	0.9	299.16	0
7128282.574	1	299.15	0
7128292.574	1	299.13	0
7128302.575	1	299.11	0
7128312.525	1	299.1	0
7128322.575	0.9	299.09	0
7128332.526	1	299.08	0
7128342.526	0.9	299.08	0
7128352.577	1	299.06	0
7128362.527	0.9	299.07	0
7128372.528	0.9	299.06	0
7128382.528	1	299.04	0
7128392.578	1	299.03	0
7128402.579	1	299.02	0
7128412.579	0.9	298.99	0
7128422.58	0.9	298.98	0
7128432.58	0.9	298.99	0
7128442.581	1	298.96	0
7128452.581	1	298.94	0
7128462.531	0.9	298.92	0
7128472.582	1	298.92	0
7128482.582	1	298.91	0
7128492.533	0.9	298.89	0
7128502.583	1	298.86	0
7128512.534	0.9	298.86	0
7128522.584	0.9	298.84	0
7128532.534	0.9	298.82	0
7128542.535	0.9	298.81	0
7128552.585	1	298.78	0
7128562.536	1	298.78	0
7128572.586	1	298.76	0
7128582.537	1	298.74	0
7128592.537	0.9	298.73	0
7128602.587	0.9	298.72	0
7128612.538	0.9	298.7	0
7128622.588	1	298.7	0
7128632.589	1	298.68	0
7128642.589	0.9	298.67	0
7128652.59	1	298.64	0
7128662.54	1	298.64	0
7128672.59	1	298.64	0
7128682.591	1	298.62	0
7128692.591	1	298.61	0
7128702.592	1	298.61	0
7128712.592	0.9	298.6	0
7128722.593	1	298.59	0
7128732.543	0.9	298.6	0
7128742.593	0.9	298.58	0
7128752.594	1	298.59	0
7128762.594	0.9	298.57	0
7128772.595	0.9	298.58	0
7128782.595	1	298.58	0
7128792.596	1	298.57	0
7128802.546	1	298.57	0
7128812.546	0.9	298.55	0
7128822.597	1	298.55	0
7128832.597	1	298.54	0
7128842.598	1	298.53	0
7128852.598	0.9	298.53	0
7128862.599	0.9	298.52	0
7128872.549	0.9	298.49	0
7128882.599	0.9	298.49	0
7128892.6	1	298.48	0
7128902.6	1	298.47	0
7128912.601	1	298.47	0
7128922.551	1	298.47	0
7128932.602	1	298.47	0
7128942.552	1	298.44	0
7128952.602	1	298.44	0
7128962.603	0.9	298.44	0
7128972.553	1	298.42	0
7128982.604	1	298.43	0
7128992.554	1	298.4	0
7129002.605	1	298.41	0
7129012.555	1	298.4	0
7129022.605	1	298.38	0
7129032.606	0.9	298.37	0
7129042.556	0.9	298.36	0
7129052.557	1	298.34	0
7129062.607	1	298.33	0
7129072.558	0.9	298.33	0
7129082.558	1	298.32	0
7129092.608	1	298.31	0
7129102.609	1	298.3	0
7129112.559	0.9	298.31	0
7129122.61	1	298.3	0
7129132.61	1	298.26	0
7129142.611	1	298.26	0
7129152.561	1	298.24	0
7129162.611	1	298.24	0
7129172.612	1	298.23	0
7129182.612	1	298.23	0
7129192.613	1	298.22	0
7129202.613	1	298.2	0
7129212.614	1	298.22	0
7129222.614	1	298.19	0
7129232.614	1	298.19	0
7129242.615	1	298.18	0
7129252.615	1	298.16	0
7129262.566	1	298.15	0
7129272.616	0.9	298.15	0
7129282.617	0.9	298.14	0
7129292.617	1	298.13	0
7129302.617	1	298.12	0
7129312.618	1	298.12	0
7129322.618	1	298.11	0
7129332.619	1	298.11	0
7129342.619	1	298.11	0
7129352.57	1	298.09	0
7129362.62	1	298.09	0
7129372.62	1	298.09	0
7129382.621	1	298.09	0
7129392.621	1	298.07	0
7129402.622	1	298.06	0
7129412.622	1	298.06	0
7129422.623	1	298.05	0
7129432.623	1	298.05	0
7129442.623	1	298.04	0
7129452.574	0.9	298.02	0
7129462.574	1	298.02	0
7129472.625	1	298.02	0
7129482.625	1	298.02	0
7129492.626	1	298	0
7129502.626	1	297.99	0
7129512.626	1	297.99	0
7129522.627	1	297.97	0
7129532.627	1	297.97	0
7129542.628	1	297.97	0
7129552.628	1	297.96	0
7129562.629	1	297.94	0
7129572.579	1	297.94	0
7129582.579	1	297.94	0
7129592.58	1	297.93	0
7129602.63	1.1	297.93	0
7129612.631	1	297.92	0
7129622.631	1	297.91	0
7129632.582	1	297.9	0
7129642.582	1	297.88	0
7129652.582	1	297.88	0
7129662.633	1	297.86	0
7129672.583	1	297.86	0
7129682.584	1	297.84	0
7129692.634	1	297.82	0
7129702.635	1	297.82	0
7129712.585	1	297.81	0
7129722.585	1	297.82	0
7129732.636	1	297.8	0
7129742.636	1	297.78	0
7129752.637	1	297.76	0
7129762.637	1	297.76	0
7129772.638	1	297.75	0
7129782.638	1.1	297.75	0
7129792.638	1	297.76	0
7129802.639	1	297.74	0
7129812.589	1	297.73	0
7129822.64	1	297.72	0
7129832.64	1	297.72	0
7129842.641	1	297.71	0
7129852.641	1.1	297.7	0
7129862.591	1	297.7	0
7129872.642	1	297.7	0
7129882.592	1	297.69	0
7129892.643	1	297.68	0
7129902.643	1	297.68	0
7129912.644	1	297.68	0
7129922.594	1	297.69	0
7129932.594	1	297.68	0
7129942.595	1	297.68	0
7129952.595	1	297.68	0
7129962.596	1	297.66	0
7129972.646	1	297.66	0
7129982.647	1	297.66	0
7129992.597	1	297.65	0
