#1			
float	DNI_THTFin_vdot(1779,4)		
0	1	273.15	0.000003236
7119722.711	0.9	297.21	0.000003236
7119922.37	1.6	297.95	0.000003242
7120222.333	0.9	296.48	0
7120232.383	1	296.54	0
7120242.334	1	296.56	0
7120252.334	1	296.56	0
7120262.335	0.9	296.58	0
7120272.385	0.9	296.58	0
7120282.335	0.9	296.58	0
7120292.336	1	296.62	0
7120302.386	1	296.71	0
7120312.387	1	296.85	0
7120322.387	1	297.06	0
7120332.338	0.9	297.41	0
7120342.388	0.9	297.71	0
7120352.388	1	298.15	0
7120362.389	1	298.54	0
7120372.339	1	298.92	0
7120382.39	1	299.31	0
7120392.34	0.9	300.16	0
7120402.391	0.9	300.89	0
7120412.391	1	301.45	0
7120422.391	0.9	301.84	0
7120432.392	0.9	302.13	0
7120442.392	1	302.31	0
7120452.343	1	302.47	0
7120462.393	0.9	302.62	0
7120472.394	1	302.78	0
7120482.394	1	302.88	0
7120492.344	1	303.01	0
7120502.395	1	303.14	0
7120512.395	1	303.3	0
7120522.346	1	303.41	0
7120532.396	1	303.42	0
7120542.397	1	303.56	0
7120552.397	1	303.65	0
7120562.347	1	303.72	0
7120572.398	1	303.73	0
7120582.348	1	303.48	0
7120592.399	0.9	303.28	0
7120602.399	1	303.18	0
7120612.4	1	303.08	0
7120622.4	1	303	0
7120632.4	1	302.91	0
7120642.401	1	302.82	0
7120652.401	1	302.77	0
7120662.402	1	302.71	0
7120672.352	1.1	302.67	0
7120682.403	1	302.61	0
7120692.403	1	302.57	0
7120702.403	0.9	302.53	0
7120712.354	1	302.5	0
7120722.354	1	302.45	0
7120732.405	1	302.43	0
7120742.405	1	302.4	0
7120752.356	1	302.37	0
7120762.356	0.9	302.32	0
7120772.356	1	302.28	0
7120782.407	1	302.24	0
7120792.407	1	302.21	0
7120802.408	1	302.18	0
7120812.358	1	302.15	0
7120822.409	1	302.1	0
7120832.409	1	302.07	0
7120842.409	1	302.05	0
7120852.41	1	302.01	0
7120862.36	1	301.98	0
7120872.361	0.9	301.95	0
7120882.361	1	301.91	0
7120892.362	1	301.88	0
7120902.362	1	301.85	0
7120912.412	1	301.83	0
7120922.363	1	301.8	0
7120932.413	1	301.76	0
7120942.414	1	301.73	0
7120952.364	1	301.69	0
7120962.415	1	301.68	0
7120972.415	1	301.65	0
7120982.415	1	301.62	0
7120992.416	1	301.59	0
7121002.416	1	301.56	0
7121012.367	1	301.55	0
7121022.367	1	301.51	0
7121032.418	1	301.48	0
7121042.418	1	301.46	0
7121052.418	1	301.44	0
7121062.419	1	301.41	0
7121072.369	1	301.39	0
7121082.42	1	301.34	0
7121092.37	1	301.32	0
7121102.371	1	301.3	0
7121112.421	1	301.26	0
7121122.371	1	301.25	0
7121132.372	1	301.21	0
7121142.422	1	301.19	0
7121152.423	1	301.16	0
7121162.373	1	301.14	0
7121172.424	1	301.11	0
7121182.424	1	301.08	0
7121192.424	1	301.06	0
7121202.425	1	301.04	0
7121212.375	1.1	301	0
7121222.376	1	300.98	0
7121232.426	1	300.95	0
7121242.427	1	300.93	0
7121252.427	1	300.9	0
7121262.427	1	300.88	0
7121272.378	1	300.84	0
7121282.378	1	300.84	0
7121292.379	1	300.82	0
7121302.429	1	300.81	0
7121312.38	0.9	300.78	0
7121322.43	1	300.77	0
7121332.43	1	300.75	0
7121342.381	1	300.73	0
7121352.431	1	300.7	0
7121362.432	1	300.7	0
7121372.382	1	300.67	0
7121382.433	1	300.66	0
7121392.433	1.1	300.65	0
7121402.383	1	300.63	0
7121412.434	1	300.61	0
7121422.434	1	300.61	0
7121432.435	1	300.59	0
7121442.435	1	300.57	0
7121452.436	1	300.56	0
7121462.436	1	300.54	0
7121472.436	1	300.55	0
7121482.437	1	300.53	0
7121492.437	1	300.52	0
7121502.388	1	300.53	0
7121512.388	1	300.52	0
7121522.439	0.9	300.5	0
7121532.389	1	300.48	0
7121542.439	1	300.47	0
7121552.44	1	300.45	0
7121562.44	1	300.45	0
7121572.441	1	300.42	0
7121582.441	1	300.42	0
7121592.441	1	300.41	0
7121602.392	1	300.41	0
7121612.442	1	300.4	0
7121622.443	1	300.41	0
7121632.393	1	300.4	0
7121642.394	1	300.39	0
7121652.444	1	300.44	0
7121662.444	1	300.45	0
7121672.445	1	300.47	0
7121682.445	1	300.48	0
7121692.396	1	300.48	0
7121702.396	1	300.48	0
7121712.397	1	300.48	0
7121722.447	1	300.49	0
7121732.447	1	300.5	0
7121742.448	1	300.49	0
7121752.398	1	300.5	0
7121762.449	1	300.5	0
7121772.399	0.9	300.53	0
7121782.45	1	300.54	0
7121792.4	0.9	300.56	0
7121802.45	1	300.58	0
7121812.451	1	300.62	0
7121822.401	0.9	300.61	0
7121832.452	1	300.64	0
7121842.402	0.9	300.65	0
7121852.453	1	300.65	0
7121862.453	0.9	300.69	0
7121872.403	1	300.71	0
7121882.404	1	300.72	0
7121892.404	1	300.7	0
7121902.405	1	300.72	0
7121912.405	1	300.73	0
7121922.456	1	300.71	0
7121932.456	1	300.71	0
7121942.406	1	300.72	0
7121952.457	1	300.71	0
7121962.407	1	300.72	0
7121972.458	0.9	300.72	0
7121982.408	0.9	300.72	0
7121992.459	1	300.73	0
7122002.459	1	300.74	0
7122012.409	1	300.73	0
7122022.46	1	300.74	0
7122032.46	1	300.75	0
7122042.411	1	300.74	0
7122052.411	1	300.75	0
7122062.412	1	300.75	0
7122072.462	1	300.75	0
7122082.412	1	300.75	0
7122092.463	0.9	300.76	0
7122102.463	1	300.75	0
7122112.464	1	300.76	0
7122122.414	1	300.77	0
7122132.465	1	300.77	0
7122142.465	1	300.77	0
7122152.415	1	300.77	0
7122162.466	1	300.78	0
7122172.416	1	300.77	0
7122182.467	0.9	300.78	0
7122192.467	0.9	300.78	0
7122202.468	1	300.77	0
7122212.468	1	300.77	0
7122222.468	1	300.76	0
7122232.469	0.9	300.75	0
7122242.469	1	300.77	0
7122252.47	1	300.77	0
7122262.42	1	300.77	0
7122272.471	1	300.77	0
7122282.471	1	300.75	0
7122292.471	1	300.76	0
7122302.422	1	300.79	0
7122312.422	1	300.81	0
7122322.473	1	300.83	0
7122332.473	0.9	300.84	0
7122342.474	1	300.84	0
7122352.474	1	300.83	0
7122362.424	1	300.82	0
7122372.475	1	300.82	0
7122382.475	1	300.82	0
7122392.476	1	300.82	0
7122402.476	1	300.82	0
7122412.477	1	300.81	0
7122422.477	1	300.81	0
