#1	
float	DNI(1780,2)
0	0
7123322.711	0.9
7123522.37	1.6
7123822.333	0.9
7123832.383	1
7123842.334	1
7123852.334	1
7123862.335	0.9
7123872.385	0.9
7123882.335	0.9
7123892.336	1
7123902.386	1
7123912.387	1
7123922.387	1
7123932.338	0.9
7123942.388	0.9
7123952.388	1
7123962.389	1
7123972.339	1
7123982.39	1
7123992.34	0.9
7124002.391	0.9
7124012.391	1
7124022.391	0.9
7124032.392	0.9
7124042.392	1
7124052.343	1
7124062.393	0.9
7124072.394	1
7124082.394	1
7124092.344	1
7124102.395	1
7124112.395	1
7124122.346	1
7124132.396	1
7124142.397	1
7124152.397	1
7124162.347	1
7124172.398	1
7124182.348	1
7124192.399	0.9
7124202.399	1
7124212.4	1
7124222.4	1
7124232.4	1
7124242.401	1
7124252.401	1
7124262.402	1
7124272.352	1.1
7124282.403	1
7124292.403	1
7124302.403	0.9
7124312.354	1
7124322.354	1
7124332.405	1
7124342.405	1
7124352.356	1
7124362.356	0.9
7124372.356	1
7124382.407	1
7124392.407	1
7124402.408	1
7124412.358	1
7124422.409	1
7124432.409	1
7124442.409	1
7124452.41	1
7124462.36	1
7124472.361	0.9
7124482.361	1
7124492.362	1
7124502.362	1
7124512.412	1
7124522.363	1
7124532.413	1
7124542.414	1
7124552.364	1
7124562.415	1
7124572.415	1
7124582.415	1
7124592.416	1
7124602.416	1
7124612.367	1
7124622.367	1
7124632.418	1
7124642.418	1
7124652.418	1
7124662.419	1
7124672.369	1
7124682.42	1
7124692.37	1
7124702.371	1
7124712.421	1
7124722.371	1
7124732.372	1
7124742.422	1
7124752.423	1
7124762.373	1
7124772.424	1
7124782.424	1
7124792.424	1
7124802.425	1
7124812.375	1.1
7124822.376	1
7124832.426	1
7124842.427	1
7124852.427	1
7124862.427	1
7124872.378	1
7124882.378	1
7124892.379	1
7124902.429	1
7124912.38	0.9
7124922.43	1
7124932.43	1
7124942.381	1
7124952.431	1
7124962.432	1
7124972.382	1
7124982.433	1
7124992.433	1.1
7125002.383	1
7125012.434	1
7125022.434	1
7125032.435	1
7125042.435	1
7125052.436	1
7125062.436	1
7125072.436	1
7125082.437	1
7125092.437	1
7125102.388	1
7125112.388	1
7125122.439	0.9
7125132.389	1
7125142.439	1
7125152.44	1
7125162.44	1
7125172.441	1
7125182.441	1
7125192.441	1
7125202.392	1
7125212.442	1
7125222.443	1
7125232.393	1
7125242.394	1
7125252.444	1
7125262.444	1
7125272.445	1
7125282.445	1
7125292.396	1
7125302.396	1
7125312.397	1
7125322.447	1
7125332.447	1
7125342.448	1
7125352.398	1
7125362.449	1
7125372.399	0.9
7125382.45	1
7125392.4	0.9
7125402.45	1
7125412.451	1
7125422.401	0.9
7125432.452	1
7125442.402	0.9
7125452.453	1
7125462.453	0.9
7125472.403	1
7125482.404	1
7125492.404	1
7125502.405	1
7125512.405	1
7125522.456	1
7125532.456	1
7125542.406	1
7125552.457	1
7125562.407	1
7125572.458	0.9
7125582.408	0.9
7125592.459	1
7125602.459	1
7125612.409	1
7125622.46	1
7125632.46	1
7125642.411	1
7125652.411	1
7125662.412	1
7125672.462	1
7125682.412	1
7125692.463	0.9
7125702.463	1
7125712.464	1
7125722.414	1
7125732.465	1
7125742.465	1
7125752.415	1
7125762.466	1
7125772.416	1
7125782.467	0.9
7125792.467	0.9
7125802.468	1
