#1	
float	Flow(1780,2)
0	0
7123322.711	0.000003236
7123522.37	0.000003242
7123822.333	0
7123832.383	0
7123842.334	0
7123852.334	0
7123862.335	0
7123872.385	0
7123882.335	0
7123892.336	0
7123902.386	0
7123912.387	0
7123922.387	0
7123932.338	0
7123942.388	0
7123952.388	0
7123962.389	0
7123972.339	0
7123982.39	0
7123992.34	0
7124002.391	0
7124012.391	0
7124022.391	0
7124032.392	0
7124042.392	0
7124052.343	0
7124062.393	0
7124072.394	0
7124082.394	0
7124092.344	0
7124102.395	0
7124112.395	0
7124122.346	0
7124132.396	0
7124142.397	0
7124152.397	0
7124162.347	0
7124172.398	0
7124182.348	0
7124192.399	0
7124202.399	0
7124212.4	0
7124222.4	0
7124232.4	0
7124242.401	0
7124252.401	0
7124262.402	0
7124272.352	0
7124282.403	0
7124292.403	0
7124302.403	0
7124312.354	0
7124322.354	0
7124332.405	0
7124342.405	0
7124352.356	0
7124362.356	0
7124372.356	0
7124382.407	0
7124392.407	0
7124402.408	0
7124412.358	0
7124422.409	0
7124432.409	0
7124442.409	0
7124452.41	0
7124462.36	0
7124472.361	0
7124482.361	0
7124492.362	0
7124502.362	0
7124512.412	0
7124522.363	0
7124532.413	0
7124542.414	0
7124552.364	0
7124562.415	0
7124572.415	0
7124582.415	0
7124592.416	0
7124602.416	0
7124612.367	0
7124622.367	0
7124632.418	0
7124642.418	0
7124652.418	0
7124662.419	0
7124672.369	0
7124682.42	0
7124692.37	0
7124702.371	0
7124712.421	0
7124722.371	0
7124732.372	0
7124742.422	0
7124752.423	0
7124762.373	0
7124772.424	0
7124782.424	0
7124792.424	0
7124802.425	0
7124812.375	0
7124822.376	0
7124832.426	0
7124842.427	0
7124852.427	0
7124862.427	0
7124872.378	0
7124882.378	0
7124892.379	0
7124902.429	0
7124912.38	0
7124922.43	0
7124932.43	0
7124942.381	0
7124952.431	0
7124962.432	0
7124972.382	0
7124982.433	0
7124992.433	0
7125002.383	0
7125012.434	0
7125022.434	0
7125032.435	0
7125042.435	0
7125052.436	0
7125062.436	0
7125072.436	0
7125082.437	0
7125092.437	0
7125102.388	0
7125112.388	0
7125122.439	0
7125132.389	0
7125142.439	0
7125152.44	0
7125162.44	0
7125172.441	0
7125182.441	0
7125192.441	0
7125202.392	0
7125212.442	0
7125222.443	0
7125232.393	0
7125242.394	0
7125252.444	0
7125262.444	0
7125272.445	0
7125282.445	0
7125292.396	0
7125302.396	0
7125312.397	0
7125322.447	0
7125332.447	0
7125342.448	0
7125352.398	0
7125362.449	0
7125372.399	0
7125382.45	0
7125392.4	0
7125402.45	0
7125412.451	0
7125422.401	0
7125432.452	0
7125442.402	0
7125452.453	0
7125462.453	0
7125472.403	0
7125482.404	0
7125492.404	0
7125502.405	0
7125512.405	0
7125522.456	0
7125532.456	0
7125542.406	0
7125552.457	0
7125562.407	0
7125572.458	0
7125582.408	0
7125592.459	0
7125602.459	0
7125612.409	0
7125622.46	0
7125632.46	0
7125642.411	0
7125652.411	0
7125662.412	0
7125672.462	0
7125682.412	0
7125692.463	0
7125702.463	0
7125712.464	0
7125722.414	0
7125732.465	0
7125742.465	0
7125752.415	0
7125762.466	0
7125772.416	0
7125782.467	0
7125792.467	0
7125802.468	0
7125812.468	0
7125822.468	0
7125832.469	0
7125842.469	0
7125852.47	0
7125862.42	0
7125872.471	0
7125882.471	0
7125892.471	0
7125902.422	0
7125912.422	0
7125922.473	0
7125932.473	0
7125942.474	0
7125952.474	0
7125962.424	0
7125972.475	0
7125982.475	0
7125992.476	0
7126002.476	0
7126012.477	0
7126022.477	0
7126032.427	0
7126042.428	0
7126052.478	0
7126062.429	0
7126072.429	0
7126082.48	0
7126092.48	0
7126102.43	0
7126112.481	0
7126122.481	0
7126132.432	0
7126142.482	0
7126152.433	0
7126162.483	0
7126172.483	0
7126182.484	0
7126192.434	0
7126202.485	0
7126212.435	0
7126222.436	0
7126232.486	0
7126242.436	0
7126252.487	0
7126262.437	0
7126272.488	0
7126282.488	0
7126292.439	0
7126302.489	0
7126312.489	0
7126322.49	0
7126332.44	0
7126342.491	0
7126352.441	0
7126362.442	0
7126372.492	0
7126382.442	0
7126392.493	0
7126402.443	0
7126412.444	0
7126422.444	0
7126432.445	0
7126442.445	0
7126452.495	0
7126462.446	0
7126472.496	0
7126482.497	0
7126492.497	0
7126502.498	0
7126512.498	0
7126522.498	0
7126532.499	0
7126542.499	0
7126552.5	0
7126562.5	0
7126572.451	0
7126582.501	0
7126592.501	0
7126602.502	0
7126612.502	0
7126622.503	0
7126632.453	0
7126642.504	0
7126652.504	0
7126662.454	0
7126672.505	0
7126682.455	0
7126692.506	0
7126702.506	0
7126712.507	0
7126722.457	0
7126732.457	0
7126742.458	0
7126752.458	0
7126762.509	0
7126772.509	0
7126782.46	0
7126792.51	0
7126802.46	0
7126812.461	0
7126822.461	0
7126832.512	0
7126842.462	0
7126852.463	0
7126862.463	0
7126872.513	0
7126882.464	0
7126892.514	0
7126902.515	0
7126912.515	0
7126922.466	0
7126932.516	0
7126942.516	0
7126952.517	0
7126962.517	0
7126972.468	0
7126982.468	0
7126992.519	0
7127002.519	0
7127012.519	0
7127022.52	0
7127032.52	0
7127042.521	0
7127052.471	0
7127062.472	0
7127072.472	0
7127082.522	0
7127092.473	0
7127102.523	0
7127112.524	0
7127122.524	0
7127132.475	0
7127142.475	0
7127152.525	0
7127162.476	0
7127172.476	0
7127182.527	0
7127192.477	0
7127202.478	0
7127212.478	0
7127222.478	0
7127232.529	0
7127242.529	0
7127252.48	0
7127262.48	0
7127272.531	0
7127282.531	0
7127292.481	0
7127302.482	0
7127312.482	0
7127322.533	0
7127332.483	0
7127342.484	0
7127352.534	0
7127362.484	0
7127372.535	0
7127382.535	0
7127392.486	0
7127402.486	0
7127412.537	0
7127422.487	0
7127432.537	0
7127442.538	0
7127452.538	0
7127462.539	0
7127472.489	0
7127482.54	0
7127492.49	0
7127502.54	0
7127512.491	0
7127522.491	0
7127532.542	0
7127542.542	0
7127552.543	0
7127562.543	0
7127572.493	0
7127582.544	0
7127592.544	0
7127602.545	0
7127612.495	0
7127622.546	0
7127632.546	0
7127642.496	0
7127652.497	0
7127662.497	0
7127672.548	0
7127682.548	0
7127692.549	0
7127702.549	0
7127712.549	0
7127722.5	0
7127732.5	0
7127742.501	0
7127752.501	0
7127762.502	0
7127772.552	0
7127782.552	0
7127792.503	0
7127802.553	0
7127812.504	0
7127822.554	0
7127832.505	0
7127842.505	0
7127852.555	0
7127862.556	0
7127872.506	0
7127882.507	0
7127892.557	0
7127902.557	0
7127912.558	0
7127922.558	0
7127932.509	0
7127942.559	0
7127952.56	0
7127962.56	0
7127972.56	0
7127982.561	0
7127992.511	0
7128002.512	0
7128012.512	0
7128022.563	0
7128032.563	0
7128042.513	0
7128052.514	0
7128062.514	0
7128072.565	0
7128082.565	0
7128092.516	0
7128102.516	0
7128112.566	0
7128122.567	0
7128132.567	0
7128142.568	0
7128152.518	0
7128162.519	0
7128172.569	0
7128182.569	0
7128192.57	0
7128202.52	0
7128212.571	0
7128222.571	0
7128232.522	0
7128242.522	0
7128252.572	0
7128262.523	0
7128272.573	0
7128282.574	0
7128292.574	0
7128302.575	0
7128312.525	0
7128322.575	0
7128332.526	0
7128342.526	0
7128352.577	0
7128362.527	0
7128372.528	0
7128382.528	0
7128392.578	0
7128402.579	0
7128412.579	0
7128422.58	0
7128432.58	0
7128442.581	0
7128452.581	0
7128462.531	0
7128472.582	0
7128482.582	0
7128492.533	0
7128502.583	0
7128512.534	0
7128522.584	0
7128532.534	0
7128542.535	0
7128552.585	0
7128562.536	0
7128572.586	0
7128582.537	0
7128592.537	0
7128602.587	0
7128612.538	0
7128622.588	0
7128632.589	0
7128642.589	0
7128652.59	0
7128662.54	0
7128672.59	0
7128682.591	0
7128692.591	0
7128702.592	0
7128712.592	0
7128722.593	0
7128732.543	0
7128742.593	0
7128752.594	0
7128762.594	0
7128772.595	0
7128782.595	0
7128792.596	0
7128802.546	0
7128812.546	0
7128822.597	0
7128832.597	0
7128842.598	0
7128852.598	0
7128862.599	0
7128872.549	0
7128882.599	0
7128892.6	0
7128902.6	0
7128912.601	0
7128922.551	0
7128932.602	0
7128942.552	0
7128952.602	0
7128962.603	0
7128972.553	0
7128982.604	0
7128992.554	0
7129002.605	0
7129012.555	0
7129022.605	0
7129032.606	0
7129042.556	0
7129052.557	0
7129062.607	0
7129072.558	0
7129082.558	0
7129092.608	0
7129102.609	0
7129112.559	0
7129122.61	0
7129132.61	0
7129142.611	0
7129152.561	0
7129162.611	0
7129172.612	0
7129182.612	0
7129192.613	0
7129202.613	0
7129212.614	0
7129222.614	0
7129232.614	0
7129242.615	0
7129252.615	0
7129262.566	0
7129272.616	0
7129282.617	0
7129292.617	0
7129302.617	0
7129312.618	0
7129322.618	0
7129332.619	0
7129342.619	0
7129352.57	0
7129362.62	0
7129372.62	0
7129382.621	0
7129392.621	0
7129402.622	0
7129412.622	0
7129422.623	0
7129432.623	0
7129442.623	0
7129452.574	0
