#1	
float	Tpump(1780,2)
0	273.15
7123322.711	297.21
7123522.37	297.95
7123822.333	296.48
7123832.383	296.54
7123842.334	296.56
7123852.334	296.56
7123862.335	296.58
7123872.385	296.58
7123882.335	296.58
7123892.336	296.62
7123902.386	296.71
7123912.387	296.85
7123922.387	297.06
7123932.338	297.41
7123942.388	297.71
7123952.388	298.15
7123962.389	298.54
7123972.339	298.92
7123982.39	299.31
7123992.34	300.16
7124002.391	300.89
7124012.391	301.45
7124022.391	301.84
7124032.392	302.13
7124042.392	302.31
7124052.343	302.47
7124062.393	302.62
7124072.394	302.78
7124082.394	302.88
7124092.344	303.01
7124102.395	303.14
7124112.395	303.3
7124122.346	303.41
7124132.396	303.42
7124142.397	303.56
7124152.397	303.65
7124162.347	303.72
7124172.398	303.73
7124182.348	303.48
7124192.399	303.28
7124202.399	303.18
7124212.4	303.08
7124222.4	303
7124232.4	302.91
7124242.401	302.82
7124252.401	302.77
7124262.402	302.71
7124272.352	302.67
7124282.403	302.61
7124292.403	302.57
7124302.403	302.53
7124312.354	302.5
7124322.354	302.45
7124332.405	302.43
7124342.405	302.4
7124352.356	302.37
7124362.356	302.32
7124372.356	302.28
7124382.407	302.24
7124392.407	302.21
7124402.408	302.18
7124412.358	302.15
7124422.409	302.1
7124432.409	302.07
7124442.409	302.05
7124452.41	302.01
7124462.36	301.98
7124472.361	301.95
7124482.361	301.91
7124492.362	301.88
7124502.362	301.85
7124512.412	301.83
7124522.363	301.8
7124532.413	301.76
7124542.414	301.73
7124552.364	301.69
7124562.415	301.68
7124572.415	301.65
7124582.415	301.62
7124592.416	301.59
7124602.416	301.56
7124612.367	301.55
7124622.367	301.51
7124632.418	301.48
7124642.418	301.46
7124652.418	301.44
7124662.419	301.41
7124672.369	301.39
7124682.42	301.34
7124692.37	301.32
7124702.371	301.3
7124712.421	301.26
7124722.371	301.25
7124732.372	301.21
7124742.422	301.19
7124752.423	301.16
7124762.373	301.14
7124772.424	301.11
7124782.424	301.08
7124792.424	301.06
7124802.425	301.04
7124812.375	301
7124822.376	300.98
7124832.426	300.95
7124842.427	300.93
7124852.427	300.9
7124862.427	300.88
7124872.378	300.84
7124882.378	300.84
7124892.379	300.82
7124902.429	300.81
7124912.38	300.78
7124922.43	300.77
7124932.43	300.75
7124942.381	300.73
7124952.431	300.7
7124962.432	300.7
7124972.382	300.67
7124982.433	300.66
7124992.433	300.65
7125002.383	300.63
7125012.434	300.61
7125022.434	300.61
7125032.435	300.59
7125042.435	300.57
7125052.436	300.56
7125062.436	300.54
7125072.436	300.55
7125082.437	300.53
7125092.437	300.52
7125102.388	300.53
7125112.388	300.52
7125122.439	300.5
7125132.389	300.48
7125142.439	300.47
7125152.44	300.45
7125162.44	300.45
7125172.441	300.42
7125182.441	300.42
7125192.441	300.41
7125202.392	300.41
7125212.442	300.4
7125222.443	300.41
7125232.393	300.4
7125242.394	300.39
7125252.444	300.44
7125262.444	300.45
7125272.445	300.47
7125282.445	300.48
7125292.396	300.48
7125302.396	300.48
7125312.397	300.48
7125322.447	300.49
7125332.447	300.5
7125342.448	300.49
7125352.398	300.5
7125362.449	300.5
7125372.399	300.53
7125382.45	300.54
7125392.4	300.56
7125402.45	300.58
7125412.451	300.62
7125422.401	300.61
7125432.452	300.64
7125442.402	300.65
7125452.453	300.65
7125462.453	300.69
7125472.403	300.71
7125482.404	300.72
7125492.404	300.7
7125502.405	300.72
7125512.405	300.73
7125522.456	300.71
7125532.456	300.71
7125542.406	300.72
7125552.457	300.71
7125562.407	300.72
7125572.458	300.72
7125582.408	300.72
7125592.459	300.73
7125602.459	300.74
7125612.409	300.73
7125622.46	300.74
7125632.46	300.75
7125642.411	300.74
7125652.411	300.75
7125662.412	300.75
7125672.462	300.75
7125682.412	300.75
7125692.463	300.76
7125702.463	300.75
7125712.464	300.76
7125722.414	300.77
7125732.465	300.77
7125742.465	300.77
7125752.415	300.77
7125762.466	300.78
7125772.416	300.77
7125782.467	300.78
7125792.467	300.78
7125802.468	300.77
7125812.468	300.77
7125822.468	300.76
7125832.469	300.75
7125842.469	300.77
7125852.47	300.77
7125862.42	300.77
7125872.471	300.77
7125882.471	300.75
7125892.471	300.76
7125902.422	300.79
7125912.422	300.81
7125922.473	300.83
7125932.473	300.84
7125942.474	300.84
7125952.474	300.83
7125962.424	300.82
7125972.475	300.82
7125982.475	300.82
7125992.476	300.82
7126002.476	300.82
7126012.477	300.81
7126022.477	300.81
7126032.427	300.81
7126042.428	300.8
7126052.478	300.79
7126062.429	300.81
7126072.429	300.81
7126082.48	300.79
7126092.48	300.82
7126102.43	300.83
7126112.481	300.74
7126122.481	300.67
7126132.432	300.62
7126142.482	300.57
7126152.433	300.5
7126162.483	300.44
7126172.483	300.37
7126182.484	300.36
7126192.434	300.27
7126202.485	300.27
7126212.435	300.28
7126222.436	300.28
7126232.486	300.29
7126242.436	300.28
7126252.487	300.28
7126262.437	300.27
7126272.488	300.26
7126282.488	300.26
7126292.439	300.29
7126302.489	301.72
7126312.489	301.05
7126322.49	300.87
7126332.44	300.89
7126342.491	300.8
7126352.441	300.78
7126362.442	300.75
7126372.492	300.73
7126382.442	300.71
7126392.493	300.71
7126402.443	300.69
7126412.444	300.68
7126422.444	300.67
7126432.445	300.66
7126442.445	300.66
7126452.495	300.63
7126462.446	300.63
7126472.496	300.61
7126482.497	300.61
7126492.497	300.59
7126502.498	300.59
7126512.498	300.59
7126522.498	300.58
7126532.499	300.57
7126542.499	300.56
7126552.5	300.52
7126562.5	300.52
7126572.451	300.49
7126582.501	300.48
7126592.501	300.46
7126602.502	300.45
7126612.502	300.5
7126622.503	300.53
7126632.453	300.52
7126642.504	300.51
7126652.504	300.51
7126662.454	300.5
7126672.505	300.5
7126682.455	300.47
7126692.506	300.48
7126702.506	300.47
7126712.507	300.46
7126722.457	300.43
7126732.457	300.42
7126742.458	300.41
7126752.458	300.4
7126762.509	300.39
7126772.509	300.37
7126782.46	300.35
7126792.51	300.32
7126802.46	300.3
7126812.461	300.26
7126822.461	300.23
7126832.512	300.21
7126842.462	300.17
7126852.463	300.16
7126862.463	300.15
7126872.513	300.15
7126882.464	300.13
7126892.514	300.11
7126902.515	300.12
7126912.515	300.11
7126922.466	300.1
7126932.516	300.1
7126942.516	300.1
7126952.517	300.07
7126962.517	300.05
7126972.468	300.04
7126982.468	300.03
7126992.519	300.01
7127002.519	299.99
7127012.519	299.96
7127022.52	299.95
7127032.52	299.92
7127042.521	299.91
7127052.471	299.9
7127062.472	299.87
7127072.472	299.87
7127082.522	299.85
7127092.473	299.85
7127102.523	299.82
7127112.524	299.81
7127122.524	299.8
7127132.475	299.78
7127142.475	299.78
7127152.525	299.75
7127162.476	299.74
7127172.476	299.74
7127182.527	299.73
7127192.477	299.73
7127202.478	299.73
7127212.478	299.7
7127222.478	299.69
7127232.529	299.7
7127242.529	299.71
7127252.48	299.69
7127262.48	299.69
7127272.531	299.66
7127282.531	299.65
7127292.481	299.66
7127302.482	299.65
7127312.482	299.64
7127322.533	298.09
7127332.483	298.31
7127342.484	298.31
7127352.534	298.38
7127362.484	298.54
7127372.535	298.68
7127382.535	298.78
7127392.486	298.86
7127402.486	299.26
7127412.537	300.35
7127422.487	301.17
7127432.537	300.56
7127442.538	300.46
7127452.538	300.34
7127462.539	300.24
7127472.489	300.17
7127482.54	300.09
7127492.49	300.03
7127502.54	300
7127512.491	299.95
7127522.491	299.92
7127532.542	299.9
7127542.542	299.88
7127552.543	299.88
7127562.543	299.86
7127572.493	299.85
7127582.544	299.83
7127592.544	299.83
7127602.545	299.82
7127612.495	299.83
7127622.546	299.8
7127632.546	299.8
7127642.496	299.79
7127652.497	299.78
7127662.497	299.77
7127672.548	299.78
7127682.548	299.76
7127692.549	299.76
7127702.549	299.75
7127712.549	299.74
7127722.5	299.73
7127732.5	299.74
7127742.501	299.71
