#1	
double	T_HTF_inlet(2502,2)
0	0
7123322.711	24.06
7123522.370	24.80
7123822.333	23.33
7123832.383	23.39
7123842.334	23.41
7123852.334	23.41
7123862.335	23.43
7123872.385	23.43
7123882.335	23.43
7123892.336	23.47
7123902.386	23.56
7123912.387	23.70
7123922.387	23.91
7123932.338	24.26
7123942.388	24.56
7123952.388	25.00
7123962.389	25.39
7123972.339	25.77
7123982.390	26.16
7123992.340	27.01
7124002.391	27.74
7124012.391	28.30
7124022.391	28.69
7124032.392	28.98
7124042.392	29.16
7124052.343	29.32
7124062.393	29.47
7124072.394	29.63
7124082.394	29.73
7124092.344	29.86
7124102.395	29.99
7124112.395	30.15
7124122.346	30.26
7124132.396	30.27
7124142.397	30.41
7124152.397	30.50
7124162.347	30.57
7124172.398	30.58
7124182.348	30.33
7124192.399	30.13
7124202.399	30.03
7124212.400	29.93
7124222.400	29.85
7124232.400	29.76
7124242.401	29.67
7124252.401	29.62
7124262.402	29.56
7124272.352	29.52
7124282.403	29.46
7124292.403	29.42
7124302.403	29.38
7124312.354	29.35
7124322.354	29.30
7124332.405	29.28
7124342.405	29.25
7124352.356	29.22
7124362.356	29.17
7124372.356	29.13
7124382.407	29.09
7124392.407	29.06
7124402.408	29.03
7124412.358	29.00
7124422.409	28.95
7124432.409	28.92
7124442.409	28.90
7124452.410	28.86
7124462.360	28.83
7124472.361	28.80
7124482.361	28.76
7124492.362	28.73
7124502.362	28.70
7124512.412	28.68
7124522.363	28.65
7124532.413	28.61
7124542.414	28.58
7124552.364	28.54
7124562.415	28.53
7124572.415	28.50
7124582.415	28.47
7124592.416	28.44
7124602.416	28.41
7124612.367	28.40
7124622.367	28.36
7124632.418	28.33
7124642.418	28.31
7124652.418	28.29
7124662.419	28.26
7124672.369	28.24
7124682.420	28.19
7124692.370	28.17
7124702.371	28.15
7124712.421	28.11
7124722.371	28.10
7124732.372	28.06
7124742.422	28.04
7124752.423	28.01
7124762.373	27.99
7124772.424	27.96
7124782.424	27.93
7124792.424	27.91
7124802.425	27.89
7124812.375	27.85
7124822.376	27.83
7124832.426	27.80
7124842.427	27.78
7124852.427	27.75
7124862.427	27.73
7124872.378	27.69
7124882.378	27.69
7124892.379	27.67
7124902.429	27.66
7124912.380	27.63
7124922.430	27.62
7124932.430	27.60
7124942.381	27.58
7124952.431	27.55
7124962.432	27.55
7124972.382	27.52
7124982.433	27.51
7124992.433	27.50
7125002.383	27.48
7125012.434	27.46
7125022.434	27.46
7125032.435	27.44
7125042.435	27.42
7125052.436	27.41
7125062.436	27.39
7125072.436	27.40
7125082.437	27.38
7125092.437	27.37
7125102.388	27.38
7125112.388	27.37
7125122.439	27.35
7125132.389	27.33
7125142.439	27.32
7125152.440	27.30
7125162.440	27.30
7125172.441	27.27
7125182.441	27.27
7125192.441	27.26
7125202.392	27.26
7125212.442	27.25
7125222.443	27.26
7125232.393	27.25
7125242.394	27.24
7125252.444	27.29
7125262.444	27.30
7125272.445	27.32
7125282.445	27.33
7125292.396	27.33
7125302.396	27.33
7125312.397	27.33
7125322.447	27.34
7125332.447	27.35
7125342.448	27.34
7125352.398	27.35
7125362.449	27.35
7125372.399	27.38
7125382.450	27.39
7125392.400	27.41
7125402.450	27.43
7125412.451	27.47
7125422.401	27.46
7125432.452	27.49
7125442.402	27.50
7125452.453	27.50
7125462.453	27.54
7125472.403	27.56
7125482.404	27.57
7125492.404	27.55
7125502.405	27.57
7125512.405	27.58
7125522.456	27.56
7125532.456	27.56
7125542.406	27.57
