#1	
double	mdot(2501,2)
0	0
7123322.711	3.23
7123522.370	3.24
7123822.333	0.00
7123832.383	0.00
7123842.334	0.00
7123852.334	0.00
7123862.335	0.00
7123872.385	0.00
7123882.335	0.00
7123892.336	0.00
7123902.386	0.00
7123912.387	0.00
7123922.387	0.00
7123932.338	0.00
7123942.388	0.00
7123952.388	0.00
7123962.389	0.00
7123972.339	0.00
7123982.390	0.00
7123992.340	0.00
7124002.391	0.00
7124012.391	0.00
7124022.391	0.00
7124032.392	0.00
7124042.392	0.00
7124052.343	0.00
7124062.393	0.00
7124072.394	0.00
7124082.394	0.00
7124092.344	0.00
7124102.395	0.00
7124112.395	0.00
7124122.346	0.00
7124132.396	0.00
7124142.397	0.00
7124152.397	0.00
7124162.347	0.00
7124172.398	0.00
7124182.348	0.00
7124192.399	0.00
7124202.399	0.00
7124212.400	0.00
7124222.400	0.00
7124232.400	0.00
7124242.401	0.00
7124252.401	0.00
7124262.402	0.00
7124272.352	0.00
7124282.403	0.00
7124292.403	0.00
7124302.403	0.00
7124312.354	0.00
7124322.354	0.00
7124332.405	0.00
7124342.405	0.00
7124352.356	0.00
7124362.356	0.00
7124372.356	0.00
7124382.407	0.00
7124392.407	0.00
7124402.408	0.00
7124412.358	0.00
7124422.409	0.00
7124432.409	0.00
7124442.409	0.00
7124452.410	0.00
7124462.360	0.00
7124472.361	0.00
7124482.361	0.00
7124492.362	0.00
7124502.362	0.00
7124512.412	0.00
7124522.363	0.00
7124532.413	0.00
7124542.414	0.00
7124552.364	0.00
7124562.415	0.00
7124572.415	0.00
7124582.415	0.00
7124592.416	0.00
7124602.416	0.00
7124612.367	0.00
7124622.367	0.00
7124632.418	0.00
7124642.418	0.00
7124652.418	0.00
7124662.419	0.00
7124672.369	0.00
7124682.420	0.00
7124692.370	0.00
7124702.371	0.00
7124712.421	0.00
7124722.371	0.00
7124732.372	0.00
7124742.422	0.00
7124752.423	0.00
7124762.373	0.00
7124772.424	0.00
7124782.424	0.00
7124792.424	0.00
7124802.425	0.00
7124812.375	0.00
7124822.376	0.00
7124832.426	0.00
7124842.427	0.00
7124852.427	0.00
7124862.427	0.00
7124872.378	0.00
7124882.378	0.00
7124892.379	0.00
7124902.429	0.00
7124912.380	0.00
7124922.430	0.00
7124932.430	0.00
7124942.381	0.00
7124952.431	0.00
7124962.432	0.00
7124972.382	0.00
7124982.433	0.00
7124992.433	0.00
7125002.383	0.00
7125012.434	0.00
7125022.434	0.00
7125032.435	0.00
7125042.435	0.00
7125052.436	0.00
7125062.436	0.00
7125072.436	0.00
7125082.437	0.00
7125092.437	0.00
7125102.388	0.00
7125112.388	0.00
7125122.439	0.00
7125132.389	0.00
7125142.439	0.00
7125152.440	0.00
7125162.440	0.00
7125172.441	0.00
7125182.441	0.00
7125192.441	0.00
7125202.392	0.00
7125212.442	0.00
7125222.443	0.00
7125232.393	0.00
7125242.394	0.00
7125252.444	0.00
7125262.444	0.00
7125272.445	0.00
7125282.445	0.00
7125292.396	0.00
7125302.396	0.00
7125312.397	0.00
7125322.447	0.00
7125332.447	0.00
7125342.448	0.00
7125352.398	0.00
7125362.449	0.00
