#1	
float	4DLUT(60025,2)
1	0
2	0
3	0.034483
4	0.043103
5	0.068966
6	0.086207
7	0.112069
8	0.12931
9	0.155172
10	0.172414
11	0.198276
12	0.206897
13	0.241379
14	0.25
15	0.275862
16	0.293103
17	0.318966
18	0.336207
19	0.336207
20	0.336207
21	0.336207
22	0.336207
23	0.336207
24	0.336207
25	0.336207
26	0.336207
27	0.336207
28	0.336207
29	0.336207
30	0.336207
31	0.336207
32	0.336207
33	0.336207
34	0.336207
35	0.336207
36	0.327586
37	0.310345
38	0.284483
39	0.267241
40	0.241379
41	0.215517
42	0.189655
43	0.163793
44	0.137931
45	0.112069
46	0.094828
47	0.068966
48	0.051724
49	0.034483
50	0
51	0
52	0.034483
53	0.051724
54	0.077586
55	0.094828
56	0.12931
57	0.146552
58	0.172414
59	0.189655
60	0.224138
61	0.232759
62	0.267241
63	0.284483
64	0.310345
65	0.327586
66	0.353448
67	0.37931
68	0.37931
69	0.37931
70	0.37931
71	0.37931
72	0.37931
73	0.37931
74	0.37931
75	0.37931
76	0.37931
77	0.37931
78	0.37931
79	0.37931
80	0.37931
81	0.37931
82	0.37931
83	0.37931
84	0.37931
85	0.37931
86	0.362069
87	0.336207
88	0.327586
89	0.301724
90	0.284483
91	0.258621
92	0.224138
93	0.198276
94	0.172414
95	0.137931
96	0.112069
97	0.086207
98	0.060345
99	0
100	0
101	0.034483
102	0.051724
103	0.086207
104	0.103448
105	0.137931
106	0.155172
107	0.189655
108	0.206897
109	0.241379
110	0.258621
111	0.301724
112	0.318966
113	0.353448
114	0.37069
115	0.405172
116	0.431034
117	0.431034
118	0.431034
119	0.431034
120	0.431034
121	0.431034
122	0.431034
123	0.431034
124	0.431034
125	0.431034
126	0.431034
127	0.431034
128	0.431034
129	0.431034
130	0.431034
131	0.431034
132	0.431034
133	0.431034
134	0.431034
135	0.413793
136	0.396552
137	0.37931
138	0.362069
139	0.344828
140	0.327586
141	0.293103
142	0.267241
143	0.241379
144	0.206897
145	0.155172
146	0.12931
147	0.094828
148	0
149	0
150	0.043103
151	0.060345
152	0.103448
153	0.12069
154	0.163793
155	0.189655
156	0.224138
157	0.25
158	0.293103
159	0.310345
160	0.353448
161	0.37069
162	0.413793
