[28561622.622,298.4;
28561633.075,298.5;
28561643.572,298.6;
28561654.096,298.7;
28561662.587,298.7;
28561673.035,298.8;
28561683.502,298.9;
28561694.002,298.9;
28561702.412,299.0;
28561712.860,299.0;
28561723.285,299.1;
28561733.811,299.1;
28561737.976,299.2;
28561783.794,299.4;
28561792.155,299.5;
28561802.608,299.5;
28561813.105,299.6;
28561823.635,299.6;
28561834.054,299.7;
28561842.426,299.7;
28561852.850,299.8;
28561863.288,299.8;
28561873.733,299.9;
28561882.099,299.9;
28561892.454,300.0;
28561902.920,300.1;
28561913.333,300.1;
28561921.998,300.1;
28561932.579,300.2;
28561943.041,300.2;
28561953.463,300.2;
28561963.962,300.3;
28561972.308,300.3;
28561982.794,300.3;
28561993.402,300.4;
28562003.928,300.4;
28562012.445,300.4;
28562022.883,300.5;
28562033.444,300.5;
28562043.927,300.5;
28562052.284,300.6;
28562062.735,300.6;
28562073.187,300.6;
28562083.685,300.6;
28562092.066,300.7;
28562102.501,300.7;
28562112.984,300.7;
28562123.493,300.8;
28562133.961,300.8;
28562142.322,300.8;
28562152.822,300.9;
28562163.292,300.9;
28562173.724,300.9;
28562182.086,301.0;
28562192.571,301.1;
28562203.082,301.2;
28562213.503,301.3;
28562223.999,301.5;
28562232.377,301.6;
28562242.847,301.8;
28562253.325,302.0;
28562263.829,302.1;
28562272.299,302.3;
28562282.749,302.4;
28562293.202,302.6;
28562303.696,302.7;
28562312.089,302.8;
28562322.604,303.1;
28562333.041,303.2;
28562343.478,303.5;
28562353.946,303.7;
28562362.337,303.9;
28562366.594,304.0;
28562492.064,306.5;
28562502.449,306.7;
28562512.917,306.9;
28562523.385,307.1;
28562533.960,307.2;
28562542.353,307.4;
28562552.819,307.5;
28562563.392,307.7;
28562573.845,307.8;
28562582.206,308.0;
28562592.624,308.1;
28562603.060,308.3;
28562613.495,308.4;
28562623.874,308.6;
28562632.283,308.7;
28562642.778,308.8;
28562653.165,309.0;
28562663.577,309.1;
28562671.978,309.2;
28562682.433,309.3;
28562692.928,309.4;
28562703.414,309.6;
28562711.914,309.7;
28562722.443,309.8;
28562732.970,309.9;
28562743.452,310.1;
28562753.876,310.2;
28562762.255,310.3;
28562772.690,310.4;
28562783.169,310.6;
28562793.625,310.7;
28562801.981,310.8;
28562812.463,310.9;
28562822.904,311.0;
28562833.386,311.0;
28562843.989,311.1;
28562852.351,311.2;
28562862.806,311.4;
28562873.306,311.5;
28562883.815,311.6;
28562892.213,311.7;
28562902.736,311.8;
28562913.267,311.9;
28562923.879,312.0;
28562932.219,312.1;
28562942.691,312.2;
28562953.189,312.3;
28562963.656,312.4;
28562972.156,312.5;
28562982.640,312.7;
28562993.181,312.8;
28563003.695,312.9;
28563012.124,313.0;
28563022.726,313.1;
28563033.224,313.2;
28563043.679,313.3;
28563052.099,313.4;
28563062.633,313.5;
28563073.037,313.6;
28563083.552,313.7;
28563093.971,313.8;
28563102.345,313.9;
28563112.861,314.0;
28563123.293,314.1;
28563133.719,314.2;
28563142.089,314.3;
28563152.574,314.3;
28563163.154,314.4;
28563173.621,314.5;
28563182.087,314.6;
28563192.592,314.6;
28563203.038,314.7;
28563213.629,314.8;
28563222.007,314.9;
28563232.568,315.0;
28563243.081,315.1;
28563253.578,315.1;
28563261.926,315.2;
28563272.424,315.3;
28563282.903,315.4;
28563293.403,315.5;
28563303.856,315.6;
28563312.330,315.7;
28563322.824,315.8;
28563333.257,315.8;
28563343.710,315.9;
28563352.104,316.0;
28563362.606,316.0;
28563373.104,316.1;
28563383.508,316.2;
28563393.973,316.2;
28563402.368,316.3;
28563412.836,316.4;
28563423.272,316.5;
28563433.748,316.6;
28563442.126,316.6;
28563452.598,316.7;
28563463.064,316.7;
28563473.449,316.8;
28563483.875,316.9;
28563492.199,316.9;
28563502.589,317.0;
28563513.012,317.0;
28563523.554,317.1;
28563531.920,317.1;
28563542.325,317.2;
28563552.806,317.2;
28563563.274,317.3;
28563573.722,317.3;
28563582.176,317.4;
28563592.673,317.4;
28563603.124,317.5;
28563613.598,317.5;
28563621.940,317.6;
28563632.409,317.6;
28563642.890,317.7;
28563653.297,317.8;
28563663.778,317.9;
28563672.095,317.9;
