#1,
"float I_DN(488,2) #here it is! In 1/1000s resolution, and Temperature in C to the .001 degrees ",
28561622.622,25.3;
28561633.075,25.4;
28561643.572,25.4;
28561654.096,25.5;
28561662.587,25.6;
28561673.035,25.6;
28561683.502,25.7;
28561694.002,25.8;
28561702.412,25.8;
28561712.860,25.9;
28561723.285,25.9;
28561733.811,26.0;
28561737.976,26.0;
28561783.794,26.3;
28561792.155,26.3;
28561802.608,26.4;
28561813.105,26.4;
28561823.635,26.5;
28561834.054,26.5;
28561842.426,26.6;
28561852.850,26.6;
28561863.288,26.7;
28561873.733,26.7;
28561882.099,26.8;
28561892.454,26.8;
28561902.920,26.9;
28561913.333,27.0;
28561921.998,27.0;
28561932.579,27.0;
28561943.041,27.1;
28561953.463,27.1;
28561963.962,27.1;
28561972.308,27.1;
28561982.794,27.2;
28561993.402,27.2;
28562003.928,27.3;
28562012.445,27.3;
28562022.883,27.3;
28562033.444,27.4;
28562043.927,27.4;
28562052.284,27.4;
28562062.735,27.4;
28562073.187,27.5;
28562083.685,27.5;
28562092.066,27.5;
28562102.501,27.5;
28562112.984,27.6;
28562123.493,27.6;
28562133.961,27.7;
28562142.322,27.7;
28562152.822,27.7;
28562163.292,27.8;
28562173.724,27.8;
28562182.086,27.8;
28562192.571,27.9;
28562203.082,28.0;
28562213.503,28.2;
28562223.999,28.4;
28562232.377,28.5;
28562242.847,28.6;
28562253.325,28.8;
28562263.829,29.0;
28562272.299,29.1;
28562282.749,29.3;
28562293.202,29.4;
28562303.696,29.6;
28562312.089,29.7;
28562322.604,29.9;
28562333.041,30.1;
28562343.478,30.3;
28562353.946,30.5;
28562362.337,30.7;
28562366.594,30.8;
28562492.064,33.3;
28562502.449,33.5;
28562512.917,33.7;
28562523.385,33.9;
28562533.960,34.1;
28562542.353,34.2;
28562552.819,34.4;
28562563.392,34.5;
28562573.845,34.7;
28562582.206,34.8;
28562592.624,35.0;
28562603.060,35.1;
28562613.495,35.3;
28562623.874,35.4;
28562632.283,35.5;
28562642.778,35.7;
28562653.165,35.8;
